frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,198.5,194.96,354.3,16.44,194.92,177.49
1,196.52,191.91,356.87,15.38,192.1,177.49
2,198.71,199.05,356.34,19.58,190.17,178.14
3,201.93,200.31,357.31,20.03,193.28,178.32
4,196.58,200.02,356.6,20.62,189.38,178.14
5,196.74,200.2,357.12,20.39,192.58,179.21
6,194.04,201.78,355.15,20.83,188.88,179.37
7,192.51,201.21,354.73,20.8,188.25,177.89
8,193.54,201.21,354.8,20.91,188.94,177.86
9,197.44,201.4,356.12,20.65,194.02,180.55
10,196.56,202.03,355.2,20.54,195.64,181.52
11,198.16,202.03,356.23,21.08,196.04,182.6
12,194.82,200.58,354.11,20.91,195.46,182.68
13,193.32,200.46,353.07,21.4,195.47,182.02
14,196.21,203.13,355.16,22.56,194.07,184.6
15,192.98,202.15,353.36,22.52,194.79,184.15
16,192.0,202.34,352.99,23.33,195.48,183.37
17,191.7,202.87,352.99,23.68,195.54,183.49
18,193.8,203.13,354.06,23.97,195.42,183.54
19,193.73,202.95,354.12,23.92,195.37,181.71
20,194.17,203.01,354.2,24.0,194.77,181.75
21,190.07,202.93,352.32,23.25,193.61,180.86
22,187.79,202.85,351.03,23.04,193.21,180.48
23,186.69,202.67,350.57,22.76,192.92,180.25
24,187.05,203.4,350.47,21.89,192.12,178.77
25,186.88,203.91,350.39,21.85,191.99,178.53
26,184.55,205.02,346.8,20.85,189.85,177.19
27,189.27,204.32,347.89,20.06,189.75,177.38
28,192.85,204.3,349.46,20.43,190.79,177.47
29,188.94,204.28,348.84,18.96,190.71,177.57
30,190.75,203.71,350.41,18.51,188.15,177.85
31,189.24,204.71,348.73,15.43,191.01,173.39
32,197.16,209.45,351.89,16.7,190.76,173.91
33,201.82,208.92,353.89,16.36,192.37,174.35
34,207.1,218.89,351.52,18.67,189.18,171.95
35,210.3,217.86,352.2,17.63,187.28,170.22
36,224.26,232.86,351.66,16.34,183.53,170.05
37,226.68,235.2,350.11,16.14,182.49,170.27
38,232.62,241.09,350.99,16.0,182.86,170.71
39,219.89,260.18,353.59,8.23,174.17,170.48
40,110.25,256.51,352.54,1.67,174.13,170.28
41,267.53,278.12,340.07,2.6,173.25,169.23
42,262.38,281.64,340.4,4.17,171.81,169.42
43,261.39,280.27,341.06,6.72,172.64,168.93
44,270.79,300.5,337.35,3.8,172.41,168.12
45,271.33,300.57,336.83,2.6,172.34,167.14
46,280.33,311.49,331.49,354.52,173.9,165.45
47,284.52,316.41,334.53,353.3,175.38,166.2
48,284.37,318.45,336.57,353.71,174.63,166.59
49,304.49,323.72,338.31,355.11,176.26,167.16
50,306.76,325.96,337.42,355.06,176.42,166.92
51,303.49,329.62,334.58,353.43,178.18,166.29
52,305.06,330.54,333.2,353.32,177.79,166.49
53,309.99,330.1,333.65,353.31,178.03,166.54
54,312.17,327.97,324.81,348.26,179.28,166.34
55,310.86,327.99,325.64,347.45,179.73,166.92
56,296.59,327.99,312.3,344.27,179.18,167.52
57,302.44,329.03,317.97,344.59,178.67,167.67
58,305.07,325.36,318.92,340.34,178.74,168.2
59,310.9,326.8,321.12,340.02,179.4,168.21
60,312.98,330.77,322.05,343.8,178.79,167.98
61,314.23,332.14,321.69,344.44,179.07,168.15
62,315.4,329.76,321.17,341.76,179.1,167.99
63,313.83,330.94,320.09,342.96,178.36,167.48
64,313.13,330.39,319.63,342.68,178.58,167.26
65,311.99,330.45,319.63,342.06,178.42,166.98
66,312.83,330.14,320.76,342.03,178.39,166.48
67,312.37,329.8,320.13,341.71,178.3,166.28
68,312.75,330.05,320.59,341.85,178.1,166.39
69,310.86,328.16,320.01,341.29,178.01,166.25
70,307.04,327.78,318.73,341.01,177.42,166.31
71,308.92,331.83,321.23,345.75,177.43,166.87
72,310.62,333.03,322.72,347.23,177.5,167.22
73,312.39,333.03,323.84,347.19,177.53,167.51
74,313.86,330.86,324.69,345.8,177.9,167.18
75,314.57,329.89,325.05,345.11,178.0,167.29
76,298.03,326.71,333.42,346.31,176.35,166.77
77,292.87,325.94,334.44,347.29,175.47,166.51
