frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,191.4,202.58,9.01,11.92,184.17,177.24
1,195.17,200.75,7.66,14.7,183.33,173.34
2,190.14,195.7,10.71,14.17,176.62,175.21
3,194.16,194.76,16.05,16.14,177.2,174.79
4,195.46,195.74,15.14,19.18,183.59,177.0
5,189.54,194.2,16.88,17.6,178.21,176.69
6,193.19,194.42,14.71,17.86,183.85,177.18
7,197.61,193.12,17.61,19.4,182.54,178.34
8,198.8,193.42,19.83,19.18,183.05,179.64
9,202.39,187.58,21.25,19.86,181.28,179.52
10,197.22,186.63,18.39,19.84,180.99,179.05
11,194.41,186.81,16.36,19.9,180.14,178.03
12,188.62,183.6,16.83,20.84,180.38,179.0
13,189.3,183.18,17.03,21.19,180.49,179.62
14,192.89,184.26,20.38,22.29,180.78,179.56
15,193.2,184.17,19.87,22.73,180.48,179.09
16,194.3,184.51,19.92,23.35,180.21,178.89
17,197.01,184.36,22.97,24.01,180.73,178.88
18,198.96,184.56,24.62,24.41,180.99,178.88
19,200.61,187.18,24.54,25.5,180.63,177.8
20,199.93,188.67,23.83,25.57,181.01,178.75
21,199.89,189.07,23.57,25.49,181.23,179.28
22,202.96,190.4,25.13,26.34,180.24,179.35
23,203.18,190.73,25.2,26.85,179.84,179.38
24,203.41,192.07,25.75,27.2,177.58,177.79
25,202.74,193.21,25.8,27.53,176.8,177.32
26,202.23,193.84,25.16,27.55,176.94,176.98
27,201.96,194.75,24.3,27.44,176.9,176.49
28,204.6,195.98,25.01,27.88,177.43,176.28
29,206.11,197.76,22.96,26.62,178.4,175.99
30,204.48,199.08,21.8,26.31,178.15,176.65
31,203.42,199.01,20.45,25.96,178.85,177.17
32,199.81,202.17,16.75,24.54,179.08,177.35
33,195.72,203.91,13.5,24.22,179.03,178.03
34,195.97,206.28,11.51,23.22,179.05,176.64
35,193.97,209.68,9.53,23.3,178.73,176.92
36,193.76,210.17,9.12,23.15,178.67,177.53
37,208.92,213.22,8.55,21.76,178.97,176.49
38,206.89,217.04,8.8,21.85,179.25,177.29
39,222.26,221.4,8.79,20.72,178.8,175.57
40,227.9,224.17,11.87,21.62,180.03,176.26
41,224.73,221.89,10.12,20.57,179.42,174.96
42,224.4,227.64,1.35,19.99,213.35,189.59
43,215.98,228.68,357.0,19.37,216.67,190.86
44,219.36,232.89,352.67,16.62,274.12,216.85
45,217.12,233.21,352.76,16.53,278.76,238.75
46,218.03,232.13,353.27,16.11,279.71,253.52
47,233.79,240.28,353.7,12.57,226.63,201.64
48,233.45,237.47,352.5,10.83,228.41,195.27
49,240.92,244.16,350.24,6.86,186.45,182.07
50,243.8,246.91,351.66,6.27,182.42,179.59
