frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,179.71,185.93,334.81,18.54,184.51,169.76
1,177.78,184.55,331.84,14.75,186.08,174.23
2,179.59,189.94,333.47,15.98,184.65,173.43
3,177.22,191.47,333.44,17.5,184.21,173.81
4,178.75,190.97,333.54,19.28,184.92,173.41
5,176.84,188.11,332.67,18.12,184.67,172.23
6,174.53,186.17,331.83,18.36,183.51,171.71
7,175.78,185.45,332.28,17.83,182.94,171.6
8,176.0,183.68,332.01,17.0,183.03,171.98
9,174.35,183.78,330.81,16.99,183.47,172.5
10,175.76,183.56,331.06,17.01,183.3,172.66
11,176.21,183.09,331.11,16.77,183.06,172.65
12,175.68,183.78,330.48,16.93,182.7,172.65
13,175.73,184.33,330.39,16.97,183.04,172.74
14,175.41,184.6,330.73,17.17,182.95,172.6
15,175.19,184.89,330.8,17.25,182.91,172.66
16,175.22,185.17,330.91,17.36,182.85,172.68
17,174.76,186.33,331.09,17.44,182.74,172.32
18,174.23,187.1,330.98,17.44,182.6,172.45
19,174.22,189.22,331.06,18.25,182.3,172.08
20,174.33,190.37,331.04,18.35,182.17,171.89
21,174.88,191.09,331.25,18.35,182.22,171.88
22,175.17,190.92,331.34,18.39,182.18,171.7
23,175.48,190.6,331.41,18.38,182.58,171.68
24,175.55,190.31,331.4,18.23,182.73,171.69
25,175.8,189.72,331.83,17.87,183.32,171.92
26,175.94,189.76,332.06,17.84,183.7,172.05
27,175.78,189.21,332.06,17.58,184.66,172.68
28,175.67,189.02,332.09,17.42,185.0,173.03
29,175.69,188.97,331.96,17.08,184.06,172.69
30,175.7,188.92,332.0,16.89,183.21,172.64
31,175.23,188.84,331.82,16.69,183.11,172.85
32,175.13,188.78,332.06,16.57,183.35,173.13
33,175.08,188.76,332.19,16.5,183.27,173.22
34,175.14,188.75,332.68,16.48,182.53,173.48
35,175.27,188.72,332.84,16.46,182.31,173.57
36,175.3,188.27,332.96,16.44,182.04,173.57
37,174.31,187.91,333.36,16.56,181.87,173.8
38,173.7,187.85,333.62,16.72,181.77,174.06
39,173.41,187.69,333.52,17.1,181.92,173.97
40,173.27,187.82,333.55,17.31,181.99,174.35
41,173.16,187.74,333.51,17.49,182.01,174.28
42,171.84,187.36,333.56,17.76,182.28,174.08
43,171.03,187.1,333.51,18.0,182.34,174.0
44,169.63,186.64,333.78,17.88,182.52,174.12
45,169.16,186.73,333.88,17.91,182.64,173.74
46,168.99,186.67,334.01,17.92,182.62,173.55
47,169.1,185.48,334.29,17.99,182.7,173.72
48,168.98,184.91,334.31,17.99,182.59,173.94
49,168.57,183.45,334.51,18.02,182.24,173.72
50,168.42,182.75,334.67,17.96,182.2,173.51
51,168.03,182.69,334.81,17.96,182.09,173.38
52,164.63,181.11,334.73,17.85,180.93,172.37
53,163.46,180.48,334.74,17.82,180.4,172.01
54,163.36,180.17,334.06,18.11,180.24,171.23
55,163.42,179.98,333.86,18.3,180.04,170.66
56,163.47,179.8,333.33,18.43,179.97,170.17
57,161.35,178.24,331.94,19.13,179.33,169.97
58,160.23,177.78,329.8,19.21,177.97,168.2
59,156.67,175.0,326.12,18.51,175.41,161.86
60,155.01,172.38,325.55,18.19,176.06,162.73
61,153.88,171.2,325.61,17.99,176.94,163.99
62,150.95,166.98,323.21,16.58,177.16,144.44
63,151.38,164.89,324.06,16.15,179.16,156.41
64,148.89,159.29,322.91,15.7,181.35,160.4
65,148.08,158.74,323.3,15.82,181.45,161.45
66,149.08,158.47,323.42,15.69,181.45,162.66
67,141.44,152.23,323.18,15.4,182.19,162.5
68,143.95,150.97,323.59,15.7,181.74,161.24
69,134.85,147.16,324.88,16.0,186.12,166.69
70,132.08,146.55,325.18,16.15,187.42,168.46
71,131.08,146.94,325.24,16.34,187.69,169.23
72,122.86,139.58,324.99,17.32,187.34,169.43
73,119.71,137.06,325.16,18.02,186.66,169.0
74,106.34,128.44,323.99,18.04,186.41,170.05
75,102.47,126.42,323.28,17.96,185.92,170.55
76,101.94,126.64,322.86,17.78,185.77,170.95
77,96.02,143.92,318.76,19.19,182.96,170.48
78,93.7,145.43,318.84,19.86,182.64,170.69
79,87.91,127.86,320.33,20.76,181.79,171.12
80,83.85,125.45,319.84,22.09,181.93,171.58
81,84.87,123.59,319.9,22.55,181.65,171.65
82,87.14,92.13,322.16,23.24,181.98,171.17
83,92.35,86.28,324.75,24.25,182.13,170.88
84,76.58,77.96,326.31,23.1,182.39,169.92
85,69.08,74.91,329.43,22.95,182.14,169.82
86,67.5,78.0,331.23,23.1,182.13,169.79
87,80.87,71.49,323.78,22.48,180.22,169.68
88,82.72,72.73,324.46,23.19,180.97,169.45
89,108.9,75.8,314.59,24.29,179.93,169.24
90,95.47,76.96,316.78,24.77,179.48,169.29
91,91.55,72.75,314.92,23.5,179.76,169.73
92,69.95,71.48,310.28,23.66,179.66,170.18
93,72.61,74.45,306.59,24.13,179.82,169.96
94,38.63,68.96,304.82,23.89,180.15,169.53
95,28.52,67.1,301.36,23.62,180.42,168.79
96,18.73,67.45,300.34,24.28,180.59,168.36
97,21.46,67.79,299.8,25.49,180.6,167.55
98,20.48,67.47,298.44,26.6,180.84,167.64
99,17.76,65.64,299.61,26.93,180.96,167.27
100,17.41,64.53,299.87,26.07,180.77,166.87
101,8.12,58.24,300.32,24.87,181.2,166.75
102,13.76,69.32,298.71,31.83,181.43,166.3
103,16.51,71.83,298.02,31.38,181.61,166.64
104,17.33,53.71,297.9,27.56,181.43,166.33
105,6.88,49.97,304.28,25.76,181.54,166.3
106,7.35,48.94,304.12,25.1,182.23,166.36
107,10.89,48.99,302.36,25.0,182.05,166.03
108,18.0,51.08,300.4,25.42,181.73,165.89
109,16.03,50.58,300.16,25.67,182.12,166.02
110,16.37,50.06,299.96,25.43,182.19,165.99
111,21.34,50.49,298.84,25.59,182.18,166.23
112,20.0,50.75,299.56,26.14,181.86,166.56
113,16.42,50.7,301.37,26.25,182.0,166.62
114,11.22,51.32,303.03,26.29,182.07,166.98
115,11.77,51.28,302.81,26.31,182.17,167.09
116,10.85,48.44,302.48,26.34,182.32,167.18
117,16.17,47.62,302.58,26.52,182.25,167.2
118,14.97,46.64,302.02,26.28,182.19,167.16
119,358.37,44.7,306.89,25.11,182.33,167.36
120,358.96,44.94,306.42,24.52,182.5,167.27
