frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,175.95,168.64,341.44,11.89,184.48,173.8
1,177.91,168.61,344.01,10.28,180.06,171.41
2,179.15,168.54,344.64,9.66,178.3,170.45
3,180.21,168.18,345.43,9.4,178.41,170.52
4,180.94,168.45,345.78,9.46,178.63,169.9
5,182.65,170.02,346.21,10.3,179.04,169.7
6,183.55,169.98,346.58,10.28,178.62,168.87
7,182.89,169.76,346.38,10.2,178.27,169.8
8,182.67,169.66,346.18,10.07,177.99,169.99
9,183.38,169.7,346.61,10.12,177.27,169.74
10,183.83,169.93,346.54,10.27,177.6,170.29
11,184.19,169.67,346.72,10.57,177.6,169.91
12,184.13,169.63,346.89,11.11,177.18,169.91
13,184.1,169.97,346.99,11.53,176.46,170.01
14,183.3,170.07,346.98,11.71,175.92,170.05
15,183.13,170.06,347.09,11.89,175.54,170.39
16,183.1,170.09,346.95,11.89,175.82,170.62
17,181.2,169.8,346.54,11.82,175.7,170.67
18,179.93,169.44,346.22,11.64,175.68,170.62
19,178.25,168.83,345.54,10.94,175.3,167.34
20,177.64,168.56,345.45,10.67,175.38,166.91
21,177.28,167.9,345.31,10.31,175.84,167.18
22,174.5,167.23,344.87,9.93,177.22,167.72
23,173.28,166.38,344.82,9.5,177.58,167.06
24,169.58,164.85,344.86,8.59,178.98,167.12
25,168.15,165.02,344.84,8.41,179.3,167.42
26,162.31,164.34,344.78,7.76,179.78,167.55
27,161.01,164.24,344.66,7.63,180.04,167.49
28,155.05,164.24,344.74,7.59,180.13,167.5
29,155.29,164.13,344.76,7.79,179.76,166.99
30,147.69,164.8,344.56,8.8,180.23,168.47
31,139.84,166.4,344.08,11.38,184.52,170.04
32,137.56,166.77,344.12,12.2,183.21,168.18
33,130.46,165.74,343.65,12.31,182.31,167.13
34,120.22,167.13,342.65,12.26,182.85,168.35
35,118.92,167.96,342.42,12.38,182.94,168.5
36,110.4,168.21,342.39,11.79,183.19,170.53
37,99.41,167.69,341.91,11.4,183.07,170.89
38,96.62,166.09,341.83,10.68,183.72,171.04
