,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,167.68,164.45,357.09,359.15,179.03,183.28
1,166.93,164.62,356.82,359.64,178.65,183.14
2,166.44,165.77,356.48,359.78,179.0,183.69
3,165.28,167.9,356.24,0.52,178.56,183.02
4,166.43,169.05,356.57,0.9,178.89,183.02
5,166.58,169.42,356.45,1.48,178.99,182.46
6,166.98,169.42,356.45,1.92,178.99,181.68
7,167.46,169.54,356.24,1.92,179.52,182.35
8,167.46,170.42,356.02,2.12,180.05,182.12
9,168.7,171.56,356.33,2.41,180.06,182.88
10,168.76,171.04,356.12,2.2,180.57,183.09
11,169.2,171.15,356.11,2.42,180.55,182.53
12,168.9,170.29,355.76,2.08,180.55,182.54
13,169.69,170.16,355.76,1.84,180.22,183.09
14,167.14,170.03,354.17,1.58,180.75,184.12
15,166.77,169.17,353.86,1.02,180.41,184.37
16,165.76,169.3,353.18,0.8,180.09,184.58
17,165.36,169.56,352.9,0.96,180.1,185.16
18,164.93,169.19,352.71,0.37,180.33,185.72
19,165.33,168.55,352.71,0.15,180.33,185.59
20,165.29,169.44,352.89,0.53,179.81,185.25
21,165.29,169.81,352.89,0.9,179.81,185.25
22,165.63,168.79,353.01,0.53,180.02,185.26
23,165.69,169.42,353.01,1.22,180.01,186.39
24,166.42,169.99,353.35,1.86,180.34,186.18
25,166.46,170.74,353.31,2.4,180.34,186.77
26,166.4,169.73,353.43,2.4,180.56,186.74
27,167.47,170.27,354.32,2.42,180.02,186.78
28,168.54,171.16,355.0,2.8,180.02,186.76
29,169.67,170.98,355.68,2.76,180.02,186.74
30,170.0,171.49,356.22,3.2,179.5,185.95
31,169.14,172.02,356.41,3.24,179.31,185.16
32,167.75,173.38,356.94,3.5,178.82,183.79
33,165.96,173.14,357.51,3.61,177.65,183.32
34,162.68,172.75,358.2,3.39,177.65,183.86
35,160.22,171.15,359.02,2.88,178.2,183.31
36,157.07,168.05,358.51,1.37,180.31,182.98
37,151.96,163.59,358.31,359.68,180.82,182.42
38,149.66,163.25,358.31,0.08,181.15,182.42
39,143.93,160.12,357.73,0.1,181.69,182.41
40,137.33,149.47,357.51,359.26,181.91,183.51
41,126.0,138.32,357.06,359.24,182.67,183.52
42,116.71,133.61,358.1,359.22,182.69,183.51
43,101.64,130.44,358.54,358.31,183.34,185.96
44,91.45,133.22,358.92,359.09,183.35,186.26
45,83.57,127.28,0.74,359.62,183.35,186.78
46,77.57,89.74,3.68,1.52,183.39,187.86
47,72.86,51.08,6.8,3.49,183.41,188.34
48,67.61,52.65,9.89,4.69,182.88,188.66
49,64.33,54.23,9.38,5.26,183.46,188.89
50,57.93,46.09,10.32,5.47,183.24,188.22
51,53.33,41.63,10.68,5.08,183.54,187.78
52,48.11,35.02,10.11,4.26,183.4,187.33
53,42.54,31.68,9.31,3.82,183.68,187.31
54,40.43,28.98,8.57,3.43,183.99,187.31
55,39.07,28.39,8.43,3.05,184.06,187.62
56,38.95,27.63,8.71,3.05,183.84,187.31
57,40.53,27.43,8.34,2.8,183.55,187.84
58,42.4,29.66,8.34,2.61,183.55,187.28
59,46.0,34.31,7.92,3.21,183.24,187.05
60,50.26,40.23,8.14,3.59,182.73,187.05
61,58.38,46.55,7.5,3.37,183.23,187.28
62,69.93,53.94,6.23,3.77,183.74,187.72
63,77.57,75.91,4.73,2.43,183.74,187.94
64,84.23,120.43,2.77,0.99,183.74,188.18
65,91.12,105.63,1.23,1.01,183.74,188.19
66,97.5,130.2,0.86,359.99,183.74,188.41
67,107.32,129.65,0.44,359.36,183.73,188.34
68,112.35,134.53,0.77,359.56,183.74,187.52
69,118.97,134.76,0.6,359.54,183.51,187.25
70,126.17,138.03,0.43,359.68,183.3,187.48
71,131.06,140.81,0.62,0.07,183.08,187.49
72,137.13,145.54,0.25,0.29,183.09,187.27
73,142.46,151.32,0.13,0.76,182.86,186.51
74,146.56,157.34,359.99,0.97,182.64,186.28
75,151.51,163.24,0.21,1.64,182.12,185.31
76,156.82,168.58,1.12,2.3,181.91,184.02
77,159.84,170.61,1.56,2.91,181.17,183.47
78,163.32,171.59,1.78,3.35,180.95,183.06
79,165.73,172.68,2.0,3.57,180.13,182.87
80,166.23,174.51,1.84,3.92,179.91,182.88
81,167.22,174.34,1.63,3.92,180.13,183.0
82,168.34,174.34,1.41,3.48,180.66,183.84
83,169.59,173.96,1.4,2.66,180.35,184.99
84,169.75,174.7,1.06,2.3,180.02,184.7
85,170.01,174.9,0.84,2.44,180.56,185.28
86,169.31,175.93,0.15,2.22,180.23,185.83
87,168.96,174.44,359.58,1.63,180.44,186.05
88,169.03,173.55,359.03,1.25,181.32,186.03
89,169.11,172.52,358.59,1.04,182.41,186.26
90,164.44,171.12,356.32,0.44,182.96,186.48
91,165.57,171.12,356.66,0.44,182.96,186.48
92,166.31,170.24,357.0,0.5,182.96,185.69
93,166.39,170.61,357.42,1.09,181.87,184.74
94,166.7,170.11,357.64,1.09,181.32,184.73
95,167.44,169.6,358.2,1.09,180.78,184.38
96,165.96,169.6,357.51,1.08,180.46,184.36
97,164.57,169.6,357.04,1.08,179.92,184.7
98,165.31,168.71,357.15,0.68,180.48,184.69
99,165.3,168.71,357.35,0.9,179.96,184.11
100,166.03,167.85,357.69,0.75,179.97,183.87
101,167.43,168.72,358.39,1.13,179.97,183.52
102,167.43,169.1,358.39,1.28,180.29,183.74
103,168.26,169.1,358.96,1.5,179.75,183.18
104,168.61,169.24,359.08,1.52,179.98,183.52
105,169.01,169.37,359.31,1.77,179.44,182.95
106,168.85,168.87,359.31,1.38,179.44,182.95
107,168.77,169.26,359.31,1.54,179.44,183.18
