,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,195.08,189.33,2.46,25.27,176.39,168.27
1,187.71,188.14,0.85,25.67,176.64,168.29
2,185.81,187.67,0.34,25.76,176.57,168.07
3,185.64,187.25,0.52,26.21,177.0,168.29
4,184.32,188.56,1.8,27.21,177.39,168.87
5,182.28,187.81,2.88,27.43,178.02,170.14
6,180.44,188.47,3.38,27.76,177.6,169.96
7,182.26,188.13,3.61,28.1,177.84,170.3
8,181.72,187.39,4.14,28.01,177.58,169.8
9,180.77,187.89,3.73,27.89,177.39,169.86
10,180.68,187.41,3.38,27.38,178.49,170.27
11,180.16,188.47,3.04,27.09,179.12,170.15
12,180.09,188.47,2.66,26.87,179.32,169.84
13,180.87,188.54,1.88,26.48,179.36,168.54
14,192.83,189.28,1.87,26.06,179.62,168.55
15,196.02,189.26,1.41,25.67,179.75,168.26
16,205.79,192.21,359.31,25.14,179.58,168.16
17,205.35,192.62,357.97,24.78,179.81,168.38
18,203.61,193.05,357.52,24.87,179.89,168.33
19,207.45,193.97,355.12,24.79,180.06,168.19
20,208.17,194.03,354.65,24.77,179.88,167.93
21,214.64,195.46,354.22,23.76,179.7,168.09
22,215.69,195.74,353.91,23.27,179.68,168.27
23,215.6,195.45,353.73,22.81,179.63,168.42
24,221.31,197.81,353.99,23.81,178.89,168.16
25,223.88,199.02,354.05,24.72,178.91,168.11
26,224.02,204.53,350.83,26.1,181.39,170.9
27,222.98,204.86,350.39,25.7,181.26,170.56
28,223.59,204.44,350.55,25.25,181.24,170.79
29,216.05,206.85,350.02,25.64,180.52,171.19
30,214.85,206.31,349.07,25.33,181.3,173.64
31,227.34,203.26,344.57,23.11,180.29,174.28
32,229.36,199.58,344.91,21.19,180.21,175.85
33,226.55,199.22,344.29,21.37,180.68,175.47
34,235.77,200.83,343.72,13.99,180.57,177.05
35,239.38,199.48,343.41,12.71,179.89,177.48
36,244.31,340.14,339.5,14.69,181.74,177.07
37,250.45,347.3,341.63,14.9,182.07,176.46
38,253.12,346.48,343.07,16.35,181.25,175.06
39,263.13,354.99,339.82,17.23,182.37,174.38
40,256.47,347.06,340.72,21.41,183.03,174.4
41,264.23,357.74,337.54,19.82,183.8,175.89
42,265.89,356.04,340.35,19.09,183.94,175.45
43,263.82,356.94,339.81,18.86,182.71,174.88
44,279.47,357.29,332.57,18.22,183.04,174.85
45,278.04,357.84,331.54,18.32,182.63,174.22
46,287.09,351.88,329.31,18.03,183.06,175.27
47,285.65,352.46,329.16,18.44,183.75,175.39
