,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,191.01,203.12,9.06,12.1,184.17,177.34
1,194.74,200.44,7.02,14.3,182.92,173.24
2,194.72,194.35,13.05,13.9,176.66,174.84
3,196.4,192.98,17.03,15.46,177.36,174.89
4,189.18,194.49,11.74,18.61,183.01,176.82
5,189.72,195.45,16.25,18.23,178.99,177.86
6,192.48,193.12,14.62,17.62,184.69,177.69
7,192.15,189.54,13.87,18.6,184.63,176.26
8,196.87,190.88,19.96,19.25,182.53,178.61
9,193.25,185.15,18.67,19.78,180.91,177.44
10,195.89,185.37,18.49,19.88,180.04,176.62
11,195.11,186.09,17.78,20.14,180.54,176.88
12,190.56,183.98,17.49,21.24,180.84,179.51
13,191.19,183.77,17.9,21.78,181.12,179.92
14,190.44,185.14,17.72,23.39,180.96,179.99
15,191.9,186.43,18.25,23.95,180.64,179.91
16,191.57,187.54,18.25,23.84,179.99,179.39
17,190.84,187.56,18.68,24.28,180.22,179.4
18,190.68,186.79,20.16,24.37,180.56,179.25
19,196.31,188.23,22.1,24.96,181.82,179.28
20,198.62,189.1,22.67,25.47,181.65,179.35
21,199.81,189.72,22.81,25.59,181.91,179.47
22,202.96,192.53,24.73,26.73,180.45,178.96
23,205.63,193.86,26.15,27.1,180.13,179.01
24,207.27,195.55,28.63,27.72,177.96,177.8
25,205.1,196.73,27.23,28.08,178.13,177.63
26,205.62,196.54,27.49,27.68,179.01,178.09
27,206.62,197.82,25.43,27.78,178.33,176.89
28,204.32,197.72,23.38,27.43,177.87,176.18
29,201.14,198.2,20.13,26.78,178.55,175.75
30,198.36,199.43,17.01,26.8,178.7,176.18
31,197.24,199.53,16.51,26.7,178.87,176.32
32,195.17,205.18,13.92,25.46,180.19,177.98
33,194.2,204.83,13.38,25.0,179.85,177.81
34,195.35,206.59,11.43,23.36,179.75,176.13
35,195.8,210.3,10.62,23.59,180.97,177.68
36,193.5,210.99,7.89,23.55,181.83,177.93
37,207.04,215.59,11.1,22.5,180.88,177.94
38,218.1,218.67,12.3,22.14,184.29,182.97
39,228.47,221.46,12.0,21.72,181.85,179.29
40,226.79,223.76,12.02,21.24,180.33,178.13
41,226.2,223.49,12.33,21.12,179.4,176.75
42,225.04,227.18,2.15,20.05,235.65,205.71
43,223.99,228.12,0.31,19.84,261.84,206.06
