,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,157.68,158.95,349.28,13.54,179.49,170.96
1,159.86,164.2,350.21,15.31,179.12,173.83
2,158.36,160.2,348.76,12.03,171.24,164.82
3,159.19,165.88,348.18,14.23,152.23,151.24
4,159.25,165.19,347.67,13.14,160.12,159.81
5,158.67,164.73,346.81,12.98,163.24,160.69
6,161.77,181.51,346.04,23.19,130.46,124.8
7,164.68,176.2,346.94,19.53,150.98,148.78
8,166.05,177.15,346.57,19.25,160.5,157.38
9,166.9,178.61,346.86,19.53,155.06,157.22
10,168.22,187.46,347.98,23.5,155.82,157.39
11,167.98,198.0,348.15,28.27,150.76,148.99
12,167.92,191.75,347.8,23.79,161.26,156.83
13,170.19,192.95,347.6,23.75,145.86,141.81
14,169.79,194.82,347.19,23.73,126.1,121.82
15,172.72,199.05,347.46,26.29,118.75,113.8
16,174.67,198.46,347.55,26.4,133.33,126.15
17,174.8,193.82,347.6,24.31,142.29,133.53
18,175.61,195.18,347.93,23.67,145.47,138.5
19,175.06,192.35,348.07,21.99,135.53,128.81
20,175.67,191.59,348.27,22.54,147.19,142.69
21,175.92,190.99,348.45,23.58,144.75,142.38
22,180.75,199.73,348.53,28.9,149.81,144.08
23,182.67,205.95,348.58,32.13,155.63,149.96
24,182.06,204.18,348.89,31.05,154.33,150.26
25,183.15,201.99,349.1,29.2,160.88,154.02
26,183.07,206.14,349.19,30.51,172.97,161.24
27,183.77,206.23,349.53,31.19,171.53,158.79
28,187.24,209.25,351.14,33.25,161.58,152.71
29,188.25,218.33,354.56,37.4,164.85,150.24
30,188.06,218.49,354.22,37.0,166.66,152.86
31,187.74,220.74,354.06,37.86,174.39,159.4
32,190.37,223.88,352.95,38.97,176.49,158.61
33,190.48,221.53,352.96,38.48,176.9,158.49
34,190.38,224.08,353.02,39.13,178.2,159.99
35,186.84,221.17,349.11,35.88,180.28,167.33
36,186.61,218.0,348.2,35.11,183.17,169.45
37,186.23,213.69,348.44,31.81,182.16,171.58
38,183.43,218.85,347.35,33.54,185.89,173.65
39,185.17,223.76,348.92,36.46,188.23,179.27
40,179.21,229.97,350.05,39.22,186.37,176.38
41,182.65,232.93,350.28,41.74,185.18,172.01
42,184.39,232.11,350.35,42.9,184.71,167.55
43,185.08,230.22,350.32,43.62,184.06,166.4
44,185.88,228.21,350.75,41.81,181.61,164.74
45,187.05,227.56,356.27,42.92,177.57,167.82
46,188.3,228.79,356.27,42.56,177.93,172.77
47,185.27,224.36,359.94,43.16,163.45,163.86
48,190.61,227.43,358.64,42.96,168.37,161.67
49,186.46,229.97,354.74,44.33,168.38,158.99
50,198.99,214.53,0.19,38.9,166.66,159.7
51,189.71,208.13,353.85,32.4,183.49,162.3
52,185.29,194.19,351.45,27.25,184.84,161.99
53,183.09,192.22,349.41,23.52,185.64,162.72
54,179.41,187.41,347.8,23.3,183.36,156.91
55,175.67,194.39,350.23,27.64,166.3,155.44
56,172.4,187.37,348.29,23.46,167.22,152.74
57,168.64,184.83,346.04,21.85,171.0,154.78
58,164.34,182.85,343.89,20.22,174.52,161.77
59,166.05,179.45,345.58,17.94,171.12,161.28
60,162.27,168.24,345.16,13.43,168.88,160.01
61,161.22,163.94,345.55,11.91,166.92,160.8
62,158.44,161.7,345.49,11.06,172.36,172.16
63,156.39,160.07,344.28,10.11,172.73,171.59
64,152.51,158.03,344.81,9.63,175.82,176.6
65,150.56,157.48,344.04,10.71,171.89,171.89
66,146.58,159.9,343.41,12.68,161.0,158.64
67,144.61,158.55,342.95,13.53,161.89,155.8
68,141.27,159.71,342.8,17.49,139.28,136.37
69,137.99,154.48,342.34,16.14,164.85,161.22
70,134.22,155.41,341.66,22.68,123.38,119.93
71,134.02,155.95,340.95,21.61,131.3,132.39
72,124.99,150.24,337.75,20.43,83.51,62.19
73,128.43,142.54,335.94,14.08,109.96,99.45
74,217.41,21.9,267.52,75.38,36.26,8.14
75,205.77,187.7,289.9,264.33,18.83,2.23
76,201.04,194.35,282.7,269.05,24.83,13.3
77,211.86,137.96,290.08,79.25,44.65,44.66
78,249.83,87.34,314.73,75.36,31.24,34.19
79,38.38,104.78,19.12,53.9,15.58,23.28
80,30.37,136.84,9.82,61.05,22.72,20.35
81,143.58,156.14,321.05,96.95,52.95,32.73
82,5.84,152.56,301.73,97.95,30.3,26.93
83,313.98,125.6,331.47,79.59,63.65,23.45
84,329.53,123.94,333.96,80.11,2.55,281.62
85,16.54,117.65,327.58,78.18,194.05,204.61
86,329.75,126.14,316.45,80.04,183.17,188.17
87,20.8,114.51,317.55,74.81,205.03,212.07
88,35.46,106.52,325.31,65.03,199.75,196.06
89,43.06,110.96,321.33,73.37,174.7,180.63
90,21.79,126.25,310.78,82.24,25.93,3.47
91,7.01,103.44,308.81,65.25,35.32,39.37
92,25.65,102.09,314.37,63.77,25.67,22.29
93,77.42,93.81,327.66,59.49,30.16,26.26
94,30.31,89.6,333.05,56.28,44.37,73.14
95,45.41,97.43,353.83,63.04,34.34,18.16
96,89.34,120.59,40.4,77.17,27.9,15.42
97,109.6,120.95,60.83,77.64,24.82,10.7
98,103.58,117.51,59.04,74.76,19.39,12.07
99,109.77,117.45,75.51,73.39,21.72,12.79
100,111.07,125.48,76.61,78.48,23.0,11.57
101,106.23,119.97,76.42,81.69,19.66,9.45
102,108.55,120.19,76.27,85.09,15.15,7.92
103,107.51,124.7,80.03,89.17,19.23,10.49
104,76.99,117.97,44.8,83.54,16.07,9.9
105,241.7,117.51,350.8,89.45,13.5,5.13
106,349.64,103.91,335.85,92.03,9.6,358.65
107,63.13,112.05,47.77,95.98,12.3,2.03
108,124.25,113.95,104.09,97.14,12.68,2.58
109,86.54,115.47,61.52,94.35,13.06,7.31
110,73.38,116.35,46.46,92.12,12.96,7.95
111,61.29,109.69,33.7,87.47,12.57,5.95
112,64.36,107.7,35.98,89.19,12.65,7.04
113,69.4,115.31,38.76,93.66,18.03,8.2
114,73.74,118.84,43.07,96.32,18.88,8.02
115,65.97,120.27,36.69,97.54,19.18,6.44
116,64.55,121.56,36.34,98.25,19.8,5.72
117,44.87,112.11,17.65,92.69,12.33,6.3
118,41.4,102.48,13.35,88.77,8.13,5.68
119,37.57,87.89,7.52,79.56,5.14,4.09
120,45.49,98.75,15.02,84.56,6.06,2.54
121,56.53,105.34,25.25,85.62,8.44,2.49
122,63.53,108.17,32.92,87.31,9.27,2.31
123,68.43,109.02,38.89,81.61,9.41,2.71
124,67.63,107.66,39.83,79.76,8.93,2.44
125,48.18,98.26,21.48,69.05,12.14,4.14
126,93.92,107.92,59.73,72.18,17.43,12.81
127,90.94,112.57,50.76,72.47,17.33,12.24
128,76.91,117.0,39.23,74.54,19.27,19.25
129,81.09,129.87,46.61,81.41,22.98,18.47
130,73.99,130.34,39.7,81.35,22.73,18.58
131,98.95,148.39,60.48,84.87,40.02,19.69
132,95.1,144.58,58.45,83.62,35.77,17.76
