,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,191.79,192.82,351.93,5.27,189.05,181.48
1,191.7,191.72,351.56,5.09,188.71,181.69
2,190.89,193.06,351.71,4.28,188.92,181.69
3,191.64,193.64,351.34,3.65,188.92,181.54
4,191.58,194.17,351.34,3.44,188.93,181.76
5,191.58,193.84,351.34,3.63,188.93,181.17
6,191.63,194.78,351.39,3.22,188.91,181.17
7,191.57,194.24,351.38,3.22,188.91,181.17
8,191.63,194.42,351.39,3.22,188.91,181.53
9,192.36,194.42,351.3,3.22,188.31,181.17
10,192.29,194.63,351.3,3.2,188.31,181.17
11,192.29,194.63,351.3,3.41,188.31,180.58
12,192.29,193.5,351.3,3.81,188.31,180.58
13,192.29,193.5,351.3,3.81,188.31,180.58
14,192.29,193.5,351.3,3.81,188.31,180.58
15,192.23,192.55,351.49,4.21,187.75,180.58
16,192.16,193.1,351.49,4.21,187.74,180.58
17,191.85,192.15,351.49,4.62,187.74,180.58
18,191.85,192.15,351.49,4.62,187.75,180.21
19,191.84,192.15,351.53,4.62,187.72,180.21
20,191.84,191.19,351.53,5.02,187.72,180.21
21,191.84,190.99,351.53,5.05,187.72,180.21
22,191.84,190.99,351.53,5.05,187.72,180.21
23,191.83,190.99,351.56,5.05,187.7,180.21
24,191.83,190.99,351.54,5.05,187.72,180.21
25,191.78,191.94,351.53,4.65,187.72,180.21
26,191.41,191.94,351.89,4.65,187.36,180.21
27,191.41,191.78,351.89,4.65,187.36,180.58
28,191.41,191.78,352.09,4.65,186.8,180.58
29,191.05,191.98,352.25,4.83,187.01,180.0
30,191.43,191.98,352.25,4.83,187.01,180.36
31,191.79,192.36,351.89,4.83,187.01,180.36
32,191.79,192.76,351.89,4.43,187.01,180.73
33,191.79,192.59,351.89,4.43,187.01,180.73
34,191.79,193.53,351.89,4.03,187.01,180.72
35,191.79,193.53,351.89,4.03,187.01,180.72
36,191.79,193.53,351.89,4.03,187.01,180.72
37,191.79,193.72,351.89,4.0,187.01,180.72
38,191.8,194.66,351.86,3.6,187.03,180.72
39,191.86,194.12,351.86,3.6,187.03,180.72
40,191.86,194.12,351.86,3.6,187.03,181.07
41,191.87,194.66,351.83,3.6,187.05,181.07
42,191.87,194.66,351.81,3.6,187.08,181.07
43,191.87,195.41,351.81,3.2,187.08,181.07
44,191.87,195.41,351.81,3.2,187.08,181.07
45,192.24,195.41,351.81,3.2,187.08,181.07
46,192.25,195.39,351.77,3.22,187.1,181.07
47,192.25,195.39,351.77,3.22,187.1,181.07
48,192.18,195.59,351.56,3.2,187.65,181.43
49,192.18,195.59,351.56,3.2,187.65,181.43
50,192.18,195.59,351.56,3.2,187.65,181.43
51,192.18,194.66,351.56,3.39,187.66,182.01
52,192.26,194.46,351.72,3.41,187.87,182.01
53,192.26,194.46,351.72,3.41,187.87,182.01
54,192.64,194.46,351.54,3.41,188.4,181.99
55,192.64,195.39,351.54,3.01,188.4,182.34
56,193.02,197.23,351.53,2.59,188.74,182.67
57,193.1,197.35,351.53,2.77,188.74,182.89
58,193.85,198.72,351.56,3.17,188.37,182.89
59,195.06,199.89,351.55,3.72,188.37,183.45
60,196.65,201.5,351.54,4.15,188.02,183.45
61,198.46,202.67,351.54,4.59,187.33,183.47
62,199.44,202.58,351.99,5.22,187.25,183.7
63,201.68,203.57,352.01,5.62,187.23,183.7
64,203.63,206.7,352.42,5.62,187.55,183.34
65,206.02,212.49,352.42,5.43,187.55,182.42
66,209.83,215.92,352.42,5.88,187.55,182.05
67,211.05,219.79,352.36,6.68,187.6,181.71
68,214.99,223.78,351.7,7.47,188.19,181.7
69,219.05,227.65,351.8,8.33,188.49,181.7
70,224.01,229.35,351.32,8.4,188.56,180.8
71,230.88,232.99,350.9,8.31,188.26,181.02
72,240.6,229.79,350.36,8.35,189.48,180.9
73,252.45999999999998,232.91,349.79,8.34,189.61,180.9
74,265.19,252.0,349.85,7.04,189.94,180.54
75,274.39,264.27,351.84,5.68,190.22,180.55
76,282.9,270.03,350.88,6.38,190.77,181.13
77,292.54,274.2,350.51,7.44,191.09,181.49
78,298.27,275.69,350.51,10.9,191.09,181.49
79,308.37,285.4,351.62,11.68,191.09,181.17
80,313.89,289.74,352.11,12.54,191.0,180.4
81,319.98,299.56,352.76,13.07,191.44,179.52
82,324.49,307.45,352.43,12.6,191.4,179.52
83,327.18,310.83,352.58,13.73,191.61,179.52
84,330.25,315.42,351.85,13.06,191.6,179.53
85,331.99,319.31,351.84,12.19,191.27,180.12
86,332.58,320.62,351.47,12.56,191.27,180.12
87,331.7,321.7,351.5,11.7,191.23,179.89
88,331.19,322.49,351.14,11.54,191.22,179.89
89,330.52,322.72,351.36,11.62,190.68,179.89
90,329.78,324.14,351.04,11.4,190.65,180.01
91,329.78,323.9,351.04,11.32,190.65,180.01
92,330.38,324.43,351.11,11.4,189.89,180.36
93,329.53,324.8,351.14,11.32,189.86,180.35
94,329.47,324.8,351.0,11.31,189.65,180.37
95,329.26,324.57,350.85,11.17,189.43,180.14
96,329.46,323.98,350.71,11.39,189.22,179.92
97,329.06,323.39,350.71,11.39,189.55,179.92
98,329.43,321.97,350.32,11.92,189.92,179.92
99,329.43,320.98,350.32,11.77,189.92,180.5
100,329.14,320.03,350.17,12.39,189.36,180.5
101,329.18,316.82,350.53,14.32,189.36,179.92
102,327.87,314.40999999999997,350.56,14.1,189.33,180.5
103,327.15,311.17,351.28,14.82,189.33,180.49
104,325.56,306.28,352.32,14.82,189.36,180.49
105,320.7,298.15,353.02,14.83,189.72,180.44
106,312.13,288.35,352.84,13.33,190.93,181.35
107,300.15,278.65999999999997,352.72,11.83,191.02,182.26
108,291.17,271.11,352.05,11.5,190.59,182.49
109,282.46,274.77,352.79,3.21,190.59,182.58
110,271.9,266.39,352.97,3.72,190.06,183.14
111,258.09000000000003,260.31,352.95,4.24,190.07,182.91
112,244.76999999999998,253.15,353.2,5.09,189.5,182.91
113,235.20999999999998,243.95999999999998,353.3,5.83,188.36,182.33
114,229.91,237.17000000000002,353.21,7.34,187.03,181.76
115,221.18,231.73,352.88,8.01,186.99,181.41
116,216.2,224.66,352.92,8.47,186.95,180.84
117,212.33,221.5,352.97,8.29,187.25,180.84
118,208.99,217.82,353.07,7.96,187.19,181.42
119,206.79,212.98,353.11,7.34,187.53,181.58
120,204.19,207.0,353.15,7.39,187.5,182.29
121,200.63,203.8,353.02,5.8,187.24,182.61
122,196.79,200.27,353.19,5.94,187.81,183.13
123,194.12,194.45,353.35,5.72,187.25,182.87
124,191.51,193.35,353.31,5.73,187.28,182.87
125,190.69,191.13,353.31,5.52,187.27,182.66
126,190.0,190.66,353.28,4.77,187.29,182.68
127,189.56,190.91,353.08,4.38,187.82,182.33
128,189.86,190.91,352.95,4.16,187.6,182.19
129,189.12,191.3,353.3,3.77,187.62,181.84
130,189.22,191.97,353.3,3.77,187.62,181.84
131,189.22,196.56,353.3,1.82,187.61,181.84
132,189.61,198.6,353.3,0.85,187.28,181.63
133,189.66,199.69,353.3,0.45,187.28,181.98
134,190.05,201.17,353.3,359.88,187.3,181.76
135,190.47,201.17,353.12,359.88,186.78,181.76
136,190.47,201.17,353.12,359.88,186.78,181.76
137,190.42,201.5,352.9,359.88,187.34,181.78
138,190.48,201.5,352.88,359.66,187.36,182.32
139,189.73,201.51,353.25,359.66,187.36,182.32
140,190.05,200.42,353.08,0.05,186.81,182.67
