,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,161.01,165.27,350.97,352.39,178.89,176.75
1,158.11,170.55,344.05,353.3,183.14,181.49
2,158.29,168.88,344.01,352.41,181.66,181.63
3,162.76,176.28,347.79,356.62,182.6,184.07
4,166.73,168.97,350.22,352.45,182.75,181.54
5,167.48,173.5,350.97,353.04,180.41,180.85
6,163.82,169.96,348.59,351.49,178.64,178.12
7,167.54,167.36,350.94,350.08,178.62,177.76
8,167.07,168.18,351.18,350.44,177.93,176.87
9,166.49,169.07,351.33,351.72,177.92,177.63
10,167.38,174.81,351.81,355.43,178.26,179.68
11,166.23,171.74,352.06,354.78,177.73,180.25
12,164.94,170.24,352.96,354.43,178.24,181.15
13,161.48,166.75,354.56,354.53,178.23,180.58
14,160.64,165.62,355.95,354.91,178.21,179.6
15,156.41,161.44,357.3,355.27,178.2,180.49
16,156.12,158.11,357.9,354.62,178.2,181.55
17,155.6,156.25,359.2,356.07,178.2,181.54
18,152.12,152.5,0.5,356.73,178.19,181.16
19,149.59,151.08,1.17,357.42,178.16,181.09
20,139.62,138.72,2.52,357.09,178.15,181.99
21,134.69,132.41,2.93,357.1,177.27,180.39
22,132.4,132.8,5.02,357.8,177.28,181.15
23,128.3,128.32,6.42,358.49,177.28,181.9
24,122.48,126.38,7.43,359.23,177.65,181.87
25,112.0,108.86,10.2,0.35,177.65,182.77
26,105.59,101.8,11.69,1.13,177.63,184.06
27,101.19,97.32,12.74,1.95,176.77,185.87
28,96.96,91.77,14.77,3.5,176.77,185.32
29,93.5,88.34,16.12,4.77,176.77,186.21
30,86.25,84.3,18.48,9.15,176.77,186.69
31,82.4,78.26,19.03,8.41,176.42,186.18
32,80.91,76.17,21.04,9.69,176.42,185.79
33,77.9,74.06,23.96,12.67,176.04,185.75
34,75.09,70.83,25.36,13.97,175.32,185.36
35,70.38,67.02,27.75,15.44,174.57,185.34
36,66.99,63.33,28.2,16.2,173.83,184.07
37,64.64,58.74,30.53,18.01,173.41,183.72
38,61.93,54.91,31.79,19.1,173.29,183.34
39,59.92,51.95,31.83,18.85,172.92,183.33
40,54.89,46.98,31.17,18.9,173.27,182.58
41,53.17,44.05,30.86,17.86,173.23,181.69
42,51.77,42.54,30.86,17.53,173.23,181.31
43,50.68,42.12,31.53,17.53,173.23,181.31
44,49.54,42.39,31.53,17.49,172.74,182.58
45,47.57,41.06,31.53,16.73,172.74,184.36
46,46.76,41.06,30.83,16.73,173.61,184.34
47,46.44,40.3,30.51,16.45,173.62,185.09
48,46.3,41.17,30.79,16.44,174.0,184.57
49,46.01,40.81,31.16,17.45,173.62,184.95
