,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,182.37,185.54,348.18,13.5,180.45,171.73
1,185.8,185.77,347.77,13.63,178.85,165.87
2,182.37,188.02,345.81,11.41,178.57,168.92
3,186.05,187.07,342.63,11.16,178.36,172.65
4,180.74,192.07,344.54,9.74,177.98,168.62
5,182.59,190.02,347.45,10.94,177.78,168.06
6,180.87,190.67,346.18,11.18,177.68,168.22
7,180.58,191.86,345.78,10.44,178.43,169.14
8,181.29,192.94,346.8,9.06,179.11,170.09
9,181.46,195.47,346.74,7.58,179.86,170.41
10,180.18,197.09,346.38,6.76,179.99,170.71
11,180.52,196.84,346.31,6.96,179.7,170.48
12,180.66,195.6,346.47,7.52,179.25,170.11
13,180.79,194.03,346.45,8.17,178.69,169.98
14,180.48,193.42,346.61,8.38,178.46,169.93
15,180.76,194.55,346.77,7.94,178.54,170.01
16,180.23,194.54,347.04,8.1,179.3,170.77
17,181.29,194.76,346.42,8.07,179.85,170.62
18,181.83,195.02,346.07,7.91,180.15,170.69
19,182.03,195.15,346.45,7.99,179.87,169.1
20,181.74,194.96,346.67,8.31,179.65,168.24
21,181.57,194.51,346.75,8.74,179.16,167.4
22,185.99,194.21,346.22,8.58,180.08,167.85
23,187.81,194.29,345.81,8.18,179.92,167.97
24,191.36,195.03,345.54,7.68,180.32,168.34
25,193.75,196.53,345.53,6.76,180.37,167.94
26,195.63,197.14,345.41,6.24,180.49,167.93
27,196.24,197.38,345.38,6.08,180.65,167.97
28,201.26,197.04,345.55,6.3,180.76,167.85
29,202.24,196.51,345.78,6.55,180.81,167.85
30,208.36,195.9,346.13,7.31,180.16,168.01
31,215.14,196.18,345.98,8.21,179.26,168.75
32,217.22,196.17,345.52,8.78,179.81,170.74
33,226.66,195.32,345.45,9.65,179.76,172.26
34,235.76999999999998,194.65,344.75,9.83,181.59,172.93
35,237.04000000000002,194.55,344.51,9.82,182.3,173.23
36,247.55,195.8,343.79,9.16,182.59,172.53
37,259.82,196.28,343.17,9.06,182.79,171.54
38,261.87,195.6,342.72,9.36,182.67,170.6
39,278.59000000000003,193.12,343.12,10.4,182.93,173.27
40,293.04,192.72,343.54,10.41,183.35,174.58
41,294.05,192.4,343.81,10.06,183.14,174.87
42,301.81,192.29,344.08,10.58,182.76,174.52
43,309.39,189.45,344.91,12.76,183.33,174.44
44,309.27,190.75,345.45,12.29,182.67,173.92
45,312.82,191.05,346.21,11.97,182.42,173.78
46,315.3,192.16,348.16,11.39,182.85,173.79
47,315.24,191.42,349.53,11.48,183.45,173.95
48,316.26,191.05,350.3,11.46,184.03,174.23
49,315.86,190.0,351.05,11.31,183.99,173.61
50,315.62,188.44,351.57,11.67,184.79,174.41
51,315.46,187.91,352.22,11.46,184.8,174.52
52,316.85,190.34,353.13,10.04,185.24,175.4
53,318.40999999999997,190.82,354.77,10.36,184.61,175.43
54,318.85,190.44,354.36,10.4,184.49,175.24
55,317.82,188.72,354.42,10.76,184.93,175.52
56,316.96,187.64,354.85,10.92,184.99,175.55
57,316.71,182.36,355.82,11.74,186.69,176.82
58,308.5,181.59,358.45,13.56,187.96,176.55
59,312.27,190.83,359.69,18.04,187.87,175.74
60,313.89,192.43,0.22,18.99,187.56,174.95
61,314.49,194.97,0.46,20.43,186.96,174.43
62,313.27,193.51,359.93,20.64,186.5,174.43
63,312.13,183.04,358.2,16.73,186.49,174.59
64,311.5,181.62,356.98,14.87,186.72,174.97
65,313.84000000000003,182.16,356.8,14.0,188.55,175.71
66,316.6,184.98,355.04,12.69,188.16,176.21
67,315.62,186.09,351.81,12.07,187.66,176.87
68,313.19,189.47,351.05,10.36,186.12,176.36
69,312.64,188.44,351.45,10.25,185.4,176.99
70,309.74,188.6,350.55,10.21,182.87,175.63
71,306.75,188.29,348.5,10.35,183.18,174.71
72,302.07,186.65,348.04,11.26,182.16,174.12
73,286.88,186.99,348.12,11.29,182.23,173.66
74,286.46,190.11,347.4,9.49,182.09,174.17
75,277.96,190.1,346.43,9.29,181.83,174.52
76,264.82,192.68,346.11,8.04,182.09,174.3
77,251.73000000000002,195.36,346.5,6.97,181.03,174.1
78,248.89,195.75,346.35,7.39,179.66,173.53
79,242.54000000000002,196.86,346.38,6.9,177.9,170.84
80,234.72,200.02,346.04,6.08,177.83,170.66
81,235.28,202.58,346.14,4.87,178.08,170.31
82,231.32,201.83,346.03,4.88,178.07,169.91
83,227.72,199.27,346.15,4.19,177.04,170.63
84,228.42,198.68,345.89,3.94,177.1,170.07
85,220.98,198.5,345.95,4.38,177.45,170.01
86,216.4,198.33,346.17,3.99,175.87,171.48
87,210.45,196.52,346.24,3.78,175.08,167.98
88,209.09,195.36,346.2,3.71,174.97,167.42
89,204.09,193.05,346.1,3.76,175.73,168.14
90,201.84,190.83,346.06,4.43,175.71,167.7
91,198.86,189.2,346.02,4.77,175.94,167.58
92,195.38,188.89,345.92,4.85,175.95,167.34
93,194.43,188.42,346.03,5.13,175.92,167.44
94,194.35,189.92,345.73,4.33,176.85,167.66
95,193.11,190.66,345.52,3.89,177.26,167.21
96,195.33,191.07,345.18,3.62,177.62,167.21
97,192.55,191.56,344.84,3.35,177.62,166.84
98,189.33,191.91,344.25,3.15,176.8,165.53
99,188.36,192.49,343.8,2.81,176.81,165.39
100,188.63,193.27,343.24,2.52,176.67,165.23
101,185.61,192.98,343.34,2.63,176.19,164.57
102,184.76,193.56,343.63,2.27,175.67,164.18
103,184.23,194.7,343.79,1.78,175.01,161.52
104,185.95,193.4,343.68,2.51,174.32,162.65
105,186.93,192.53,343.47,2.97,174.46,164.13
106,187.32,191.29,343.25,3.81,174.42,164.61
107,186.35,190.79,343.34,4.5,174.57,165.26
108,185.88,190.5,343.53,4.88,174.61,165.61
109,185.63,188.78,343.67,6.11,174.69,166.03
110,182.6,188.72,344.73,6.64,174.79,166.04
111,180.95,188.65,345.3,7.14,174.98,165.81
112,180.07,189.61,345.78,6.92,175.05,166.05
113,180.05,190.01,346.07,6.98,175.09,166.18
114,180.13,190.15,346.2,7.01,175.17,166.38
115,180.45,190.62,346.44,6.94,175.25,166.41
