,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,187.75,198.32,355.75,4.83,189.92,179.31
1,188.28,198.87,356.31,4.86,189.67,180.04
2,187.09,193.1,356.5,7.73,189.89,180.41
3,187.89,196.22,356.23,6.66,188.71,180.19
4,188.13,196.87,355.92,6.22,188.7,180.18
5,188.26,197.57,355.64,5.8,188.65,180.18
6,188.55,198.29,355.51,5.36,188.42,180.56
7,188.86,198.7,355.34,5.16,188.22,180.35
8,188.89,198.03,355.37,5.17,187.8,180.71
9,188.95,198.7,355.15,4.79,188.37,180.69
10,188.89,199.58,355.15,4.17,188.37,181.23
11,188.83,199.58,355.14,3.96,188.36,181.81
12,188.77,200.05,355.34,3.74,187.81,182.71
13,188.34,200.05,355.49,3.96,188.03,182.48
14,188.41,200.05,355.48,3.96,188.03,182.83
15,189.05,199.58,355.32,4.17,187.49,182.98
16,189.05,199.58,355.53,4.38,187.28,182.73
17,189.12,200.27,355.52,4.36,186.93,182.31
18,188.78,200.09,355.73,4.75,186.39,182.24
19,188.78,200.09,355.73,4.75,186.38,182.22
20,188.85,199.88,355.72,4.75,186.37,182.2
21,188.13,200.11,356.07,4.73,186.39,182.2
22,188.2,200.76,356.06,4.35,186.39,182.19
23,188.26,200.76,356.06,4.12,186.39,182.12
24,188.67,200.56,356.06,4.12,186.4,181.78
25,188.61,201.22,356.06,3.93,186.4,180.9
26,188.67,201.68,356.04,3.94,186.42,180.93
27,189.02,201.63,355.84,3.53,187.65,180.96
28,188.64,202.08,355.99,3.53,187.88,180.97
29,189.42,202.08,355.8,3.53,188.09,180.97
30,190.12,202.09,355.6,3.72,188.3,181.54
31,192.04,202.8,355.37,3.91,188.52,181.79
32,193.53,203.49,355.37,3.91,188.52,181.47
33,194.66,203.23,355.72,4.92,187.84,181.66
34,195.9,198.75,355.88,7.97,188.04,181.88
35,198.81,201.56,355.54,7.65,187.67,182.05
36,200.88,203.97,355.61,7.85,187.6,181.07
37,203.39,205.53,355.63,8.53,187.24,181.13
38,204.87,207.5,355.79,9.3,187.09,180.78
39,206.23,211.37,356.19,9.78,187.09,181.34
40,209.68,215.01,355.79,10.32,188.19,181.91
41,212.07,219.22,355.43,10.84,188.25,181.9
42,215.09,221.92,355.04,10.92,188.27,181.9
43,217.9,224.53,354.82,11.07,188.84,181.92
44,222.01,226.58,354.81,11.4,188.86,182.27
45,225.86,229.73,354.42,11.25,188.52,182.26
46,230.56,234.87,354.4,10.11,188.55,181.59
47,237.68,240.9,353.6,8.45,189.65,181.59
48,243.55,239.32,353.12,8.79,190.05,181.81
49,250.07,244.1,352.52,10.21,190.25,181.81
50,260.15,251.51,352.25,8.93,190.09,181.82
51,270.31,262.96,352.61,8.71,190.08,181.24
52,278.73,273.25,352.72,5.83,190.31,181.94
53,284.58,276.65,352.68,7.03,191.34,182.49
54,292.2,277.36,352.56,8.82,191.8,182.82
55,297.49,279.52,352.68,9.96,192.36,182.82
56,306.23,284.1,353.36,10.97,192.4,182.95
57,314.45,287.03,353.83,13.38,192.96,182.53
58,320.52,292.62,354.33,12.47,192.84,181.65
59,325.82,301.32,354.8,12.05,192.41,180.96
60,328.1,306.57,354.45,12.8,192.41,180.75
61,332.02,312.55,353.0,12.48,192.41,180.88
62,333.27,320.31,351.59,11.93,192.08,180.66
63,334.94,327.76,351.27,10.78,192.39,180.68
64,336.0,331.01,350.95,9.44,192.37,180.68
65,335.12,331.35,350.05,7.85,192.59,180.92
66,335.23,330.63,349.71,7.85,192.58,180.57
67,334.22,330.22,350.06,8.06,192.56,180.79
68,333.56,329.74,349.85,7.57,193.07,181.22
69,333.78,330.57,349.85,7.99,193.07,181.58
70,334.56,331.57,349.47,8.56,193.11,181.38
71,334.42,330.96,349.61,8.57,193.33,181.73
72,334.77,331.4,349.47,8.98,192.78,182.41
73,334.98,331.31,349.68,8.92,192.25,182.76
74,334.33,331.35,349.47,8.73,192.46,182.54
75,334.33,330.78,349.72,8.38,191.89,182.54
76,334.96,330.62,349.72,7.96,191.9,182.54
77,334.76,329.98,349.71,7.96,191.9,182.54
78,334.76,329.14,349.71,7.96,192.23,182.54
79,334.76,329.14,349.71,7.96,192.25,182.19
80,334.55,328.97,349.71,8.21,192.26,182.4
81,334.2,327.31,350.05,8.27,191.93,182.75
82,333.43,325.78,350.16,8.96,191.84,182.53
83,332.26,323.34000000000003,350.51,9.65,191.5,182.4
84,329.9,320.79,350.86,9.91,191.51,182.96
85,326.90999999999997,317.95,351.67,10.05,191.76,182.94
86,325.71,312.17,352.36,10.78,192.13,183.28
87,324.25,307.9,353.19,11.53,192.37,184.29
88,321.01,300.93,354.07,12.13,192.52,184.56
89,314.82,293.06,354.98,11.78,192.36,185.03
90,309.26,286.26,355.39,12.47,191.98,184.9
91,300.96,278.99,355.43,13.06,192.63,186.1
92,292.7,273.46,354.62,10.7,191.98,186.51
93,284.08,269.56,354.64,10.05,191.98,186.49
94,278.45,268.34000000000003,354.62,8.13,191.69,185.66
95,268.65,253.59,354.61,8.49,191.71,185.4
96,257.8,241.82,354.37,9.92,191.32,185.93
97,248.47,243.09,354.05,9.64,191.3,185.71
98,240.61,239.38,354.07,9.13,190.96,185.36
99,234.13,233.98000000000002,354.07,8.93,190.96,184.49
100,229.76,230.5,353.67,8.8,190.63,183.37
101,225.53,228.25,352.57,8.88,190.61,182.82
102,221.1,225.4,352.21,8.68,191.23,182.83
103,217.03,221.2,352.07,8.89,191.35,182.48
104,214.17,220.93,351.92,8.65,191.45,182.24
105,211.31,218.11,352.25,8.13,190.84,181.91
106,208.14,215.17,352.54,7.96,190.6,181.74
107,205.66,212.05,353.39,7.13,189.8,182.13
108,201.91,209.6,353.61,6.6,189.58,182.28
109,198.86,208.31,353.84,5.44,189.02,182.63
110,196.55,205.23,354.18,4.03,189.34,182.78
111,194.37,203.82,354.18,2.43,189.64,182.72
112,191.64,203.43,354.38,1.62,189.41,182.72
113,189.96,202.19,354.37,1.22,189.39,183.07
114,189.54,202.78,354.39,0.42,189.67,182.7
115,188.52,203.85,354.39,359.63,189.67,182.7
116,187.85,204.53,354.36,359.23,189.69,182.35
117,187.8,204.93,354.34,358.83,189.37,182.72
118,187.8,205.19,354.34,358.83,189.04,182.37
119,188.51,204.79,353.99,359.23,189.04,182.02
120,188.45,205.0,353.97,359.23,189.04,182.01
121,188.81,205.47,353.99,359.23,189.01,181.99
122,188.52,204.6,354.12,359.63,189.24,181.98
123,189.59,203.94,353.76,0.02,189.24,181.98
124,189.24,203.94,354.12,0.02,189.57,181.97
125,189.95,202.97,353.97,0.02,189.02,181.94
126,189.95,202.69,354.17,359.63,188.48,181.93
127,189.52,201.9,354.35,359.83,188.35,181.38
128,190.23,201.01,353.98,0.02,188.37,181.59
129,190.23,199.58,353.98,0.21,188.05,181.81
130,190.23,200.3,353.95,359.8,188.06,181.81
131,189.87,200.13,354.11,359.8,188.27,181.81
132,189.87,200.3,354.08,359.8,188.29,181.81
133,189.87,200.96,354.08,359.81,188.29,181.81
134,189.87,201.36,354.06,359.61,188.31,181.27
135,189.95,201.84,354.05,359.4,188.31,181.49
136,189.23,203.2,354.2,359.0,188.51,181.5
137,189.23,203.2,354.2,359.0,188.2,181.5
138,189.96,203.2,353.87,359.0,188.18,181.48
139,189.96,203.39,353.84,359.01,188.2,181.49
140,189.24,203.39,353.99,359.01,188.41,181.49
141,189.24,203.39,354.2,359.01,187.88,181.49
142,189.24,203.39,354.2,359.0,187.88,181.84
143,189.24,203.87,354.2,359.0,187.88,181.84
144,189.31,204.34,354.17,359.0,187.91,181.84
145,189.95,204.15,353.82,359.2,187.91,181.28
146,189.59,204.15,353.97,359.2,188.11,181.28
147,189.59,203.74,353.97,359.4,188.11,181.49
148,189.59,204.21,353.97,359.4,188.11,181.49
149,189.59,204.21,353.97,359.4,188.11,181.49
150,189.59,204.21,353.97,359.4,188.11,181.49
151,189.59,204.0,353.97,359.6,188.11,181.7
152,189.59,200.41,353.97,1.19,188.11,181.7
153,189.59,198.83,353.97,1.97,188.44,181.7
154,189.59,197.75,353.95,2.53,188.46,181.91
155,189.59,197.24,353.95,2.53,188.46,181.91
156,189.59,197.24,353.95,2.53,188.46,181.91
157,189.59,196.93,353.95,2.52,188.46,181.91
158,189.95,196.93,353.79,2.52,188.26,182.24
159,189.95,196.93,353.79,2.52,188.26,182.58
160,189.59,197.11,353.59,2.52,188.79,182.58
161,189.52,196.0,353.6,2.72,188.79,183.13
162,189.58,196.0,353.6,2.72,188.79,183.13
163,189.58,196.0,353.6,2.72,188.79,183.13
164,189.58,195.5,353.6,2.7,188.79,183.15
165,189.58,195.5,353.6,2.7,188.79,183.15
166,190.3,194.97,353.24,2.7,188.46,182.81
167,190.3,200.21,353.24,0.37,188.46,182.81
168,190.38,202.49,353.05,359.18,188.97,182.81
169,190.38,203.18,353.05,358.78,188.98,182.82
170,189.66,200.52,353.41,359.98,188.98,182.82
171,189.59,201.61,353.41,359.58,189.31,182.81
172,189.59,201.41,353.41,359.58,189.31,183.15
173,189.66,198.32,353.41,1.19,189.31,183.15
174,189.66,195.61,353.41,2.4,189.31,183.15
175,189.66,194.49,353.21,2.97,189.84,183.36
