,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,175.28,169.32,353.14,352.7,187.28,188.46
1,175.94,161.38,353.71,352.45,186.37,188.44
2,177.19,160.32,354.63,352.83,186.24,188.26
3,176.66,161.08,354.45,353.58,185.14,187.83
4,176.72,160.19,354.56,353.75,185.59,187.5
5,178.03,160.27,354.48,353.99,186.27,187.82
6,178.04,161.02,354.83,354.35,185.43,187.84
7,176.68,162.98,353.83,354.34,185.81,187.96
8,176.66,163.04,353.83,353.9,185.81,188.19
9,176.66,166.75,353.85,354.19,185.82,188.56
10,174.65,171.0,352.97,353.82,185.46,189.62
11,174.68,171.07,352.97,353.45,185.48,189.99
12,174.07,171.71,352.36,353.73,186.01,190.36
13,173.33,170.03,352.38,353.44,186.01,190.73
14,173.29,170.03,352.71,353.44,185.13,190.73
15,171.98,169.18,352.14,353.81,185.13,189.78
16,171.93,170.71,353.21,354.39,182.49,189.1
17,170.52,170.02,352.47,354.4,182.51,187.77
18,168.37,170.69,352.06,354.69,181.64,188.15
19,165.38,169.87,350.71,354.7,181.64,188.14
20,160.57,165.26,348.38,352.61,181.12,187.56
21,156.76,163.67,346.8,351.47,181.12,187.84
22,156.65,163.45,346.5,351.37,181.15,187.76
23,153.18,161.62,344.47,349.38,181.16,187.48
24,151.37,158.25,343.76,347.86,181.17,187.48
25,147.28,155.92,341.17,345.76,181.32,187.72
26,142.77,152.13,337.32,344.17,182.73,187.72
27,139.47,149.41,335.24,343.06,183.23,187.65
28,137.14,145.34,333.5,341.57,182.36,186.65
29,134.19,144.05,331.11,339.73,181.51,186.1
30,129.93,138.95,328.39,341.34,181.15,184.36
31,125.06,128.48,325.16,340.06,181.15,183.53
32,122.61,127.57,326.63,342.73,181.15,183.93
33,127.51,136.61,331.39,347.96,182.56,185.77
34,133.84,140.36,338.15,350.93,183.27,185.59
35,132.24,156.8,344.43,351.22,184.68,185.54
36,133.88,165.25,345.01,349.83,185.26,185.53
37,127.92,164.86,347.94,349.44,185.51,185.42
38,94.35,164.84,336.33,349.1,185.17,184.45
39,66.47,166.61,279.42,341.96,184.15,184.95
40,37.18,166.93,250.35,334.58,184.2,183.75
41,26.88,161.89,239.84,333.65,183.48,183.4
42,23.31,163.18,234.34,331.41,183.94,184.0
43,22.86,164.29,233.4,330.21,183.63,184.38
44,21.24,158.67,230.74,325.42,183.63,184.42
45,19.24,160.58,230.31,324.3,183.63,184.43
46,18.23,168.07,229.81,328.38,183.94,185.15
47,20.83,168.07,229.77,328.39,183.97,185.69
48,23.45,166.73,231.91,324.33,184.28,185.69
49,22.92,169.65,231.62,327.4,184.32,185.63
50,25.77,153.88,236.28,331.65,184.69,185.54
51,31.9,139.63,251.26,339.52,186.16,184.5
52,35.9,148.85,258.03,341.97,186.26,183.41
53,64.57,151.87,276.34,342.0,186.57,183.33
54,99.62,166.87,303.86,349.32,186.84,183.21
55,136.04,168.2,333.57,350.63,187.24,183.27
56,151.18,163.31,350.61,351.46,186.67,183.33
57,150.48,158.55,349.87,351.28,185.91,183.4
58,150.57,159.36,349.11,351.42,185.57,183.52
59,152.35,158.64,350.3,351.5,184.41,183.85
60,150.91,159.32,347.28,350.31,182.75,182.99
61,149.92,159.64,345.99,350.47,182.33,183.04
62,151.39,162.22,347.13,350.63,181.45,183.14
63,152.18,160.24,347.12,349.28,181.04,183.77
64,154.81,158.26,347.54,349.61,181.0,183.77
65,157.48,155.86,349.47,350.31,180.09,183.45
66,158.91,155.28,350.56,350.45,180.01,183.53
67,160.6,157.41,351.78,351.28,179.62,183.49
68,160.19,157.77,351.71,351.96,179.62,182.95
69,161.35,157.75,352.24,352.05,179.23,183.61
70,163.01,159.85,353.08,353.25,179.2,183.51
71,162.23,159.85,352.79,353.61,178.85,182.68
72,163.61,161.15,353.5,354.0,178.84,183.12
73,164.3,161.2,353.85,354.58,178.53,182.6
74,165.63,162.95,354.49,355.26,178.53,182.0
75,165.58,164.67,354.45,355.68,179.03,181.1
76,164.94,164.67,353.81,355.32,179.53,181.46
77,165.69,164.04,353.75,355.3,179.52,181.52
78,165.63,162.56,353.81,355.3,179.53,181.48
79,164.42,161.24,353.17,355.3,179.52,181.44
