frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,167.82,163.47,356.0,1.3,179.32,184.82
1,166.65,161.15,355.29,359.69,179.02,184.3
2,165.78,160.62,355.12,359.55,179.55,184.09
3,164.92,159.97,355.31,359.77,179.77,183.82
4,165.47,161.18,355.31,0.28,179.75,184.35
5,165.75,160.89,355.44,0.64,179.98,184.37
6,166.04,161.74,355.71,1.01,179.75,184.05
7,166.35,163.05,356.24,1.59,179.23,183.19
8,166.66,163.88,356.78,1.82,179.0,182.93
9,167.0,164.57,356.88,2.17,179.23,182.93
10,165.32,164.08,356.99,1.96,179.11,183.19
11,164.1,164.47,357.66,2.11,178.49,183.4
12,160.81,164.34,357.86,2.03,178.93,183.84
13,159.16,163.93,358.65,2.23,179.15,184.37
14,154.86,162.96,358.57,1.8,179.88,184.82
15,150.65,157.97,358.47,1.4,180.64,185.01
16,145.05,151.34,357.97,358.48,182.77,185.59
17,139.34,147.95,358.12,358.29,182.99,185.77
18,132.45,141.6,357.52,357.42,184.26,186.5
19,128.75,135.16,357.5,357.12,184.69,187.92
20,123.43,130.43,358.41,357.04,184.62,187.87
21,112.12,125.39,359.0,358.67,184.54,188.09
22,103.19,120.59,0.07,359.88,184.46,189.41
23,91.84,121.84,1.53,0.38,184.44,189.05
24,81.96,99.24,2.12,359.95,184.46,189.4
25,75.1,100.11,6.39,0.0,184.25,189.64
26,65.65,65.35,9.87,4.18,184.45,189.29
27,59.47,50.83,13.22,6.04,183.91,188.73
28,55.69,62.19,16.45,6.42,183.9,188.28
29,56.27,87.63,17.58,6.77,183.85,188.24
30,50.6,34.76,18.91,8.21,183.59,187.94
31,49.08,31.63,19.54,9.05,183.59,187.93
32,48.8,30.6,20.32,9.89,183.1,187.91
33,48.16,30.08,20.55,11.03,182.57,187.41
34,47.84,35.69,19.8,10.43,182.55,187.19
35,47.63,39.94,19.39,9.72,182.56,187.28
36,50.27,41.63,19.02,9.3,182.75,187.59
37,51.7,35.96,17.26,9.75,182.97,187.91
38,59.29,35.07,12.3,10.05,182.98,188.19
39,70.67,41.47,8.4,6.69,183.3,188.76
40,80.79,68.37,5.8,3.8,183.72,189.0
41,88.03,80.85,5.21,2.3,184.24,189.59
42,102.56,112.31,6.44,2.16,184.31,190.66
43,108.8,123.55,6.22,1.8,184.74,191.0
44,119.8,134.39,6.76,1.56,183.98,190.93
45,127.54,140.35,6.87,1.38,184.0,190.02
46,130.78,137.97,6.35,1.5,184.04,189.18
47,135.04,137.96,5.35,0.63,183.8,187.89
48,138.85,140.2,4.95,0.94,183.66,186.22
49,144.08,144.96,4.56,1.43,183.05,184.42
50,148.08,149.4,4.4,1.84,182.79,185.07
51,149.25,153.0,4.0,1.55,182.62,184.81
52,154.48,158.8,4.06,2.03,182.59,183.69
53,158.03,162.04,4.04,2.27,181.95,182.31
54,161.39,163.98,4.16,2.72,181.52,181.86
55,165.24,167.23,4.24,3.37,180.45,181.21
56,168.02,170.89,4.52,4.16,180.46,181.1
57,170.85,171.63,4.45,4.35,180.46,181.22
58,171.32,172.37,3.55,4.09,180.24,182.12
59,171.1,171.8,2.2,3.59,180.25,182.59
60,171.31,171.53,1.52,3.17,180.25,182.91
61,170.57,171.29,0.47,2.92,180.26,183.49
62,169.1,171.29,359.67,2.92,179.72,183.47
63,168.69,171.29,359.34,2.7,179.72,184.02
64,167.94,171.19,358.67,2.7,179.73,183.67
65,167.53,172.03,358.32,2.84,179.73,184.21
66,167.91,171.41,358.32,2.81,179.43,184.18
67,166.81,170.31,357.99,2.42,179.43,184.18
68,166.42,169.34,358.21,2.42,178.89,183.88
69,165.03,167.54,357.65,2.07,179.11,183.9
70,164.56,165.66,357.65,1.7,178.8,183.89
71,164.28,164.72,357.43,1.54,179.03,184.11
72,164.1,165.29,358.09,2.05,178.74,184.0
73,161.88,164.12,358.09,1.81,178.74,184.2
74,161.83,165.03,358.55,2.1,178.96,184.65
75,162.17,166.09,358.66,2.47,179.5,184.31
76,161.79,166.38,358.76,2.43,179.75,184.33
77,162.13,166.85,359.1,2.42,179.75,184.33
78,162.83,167.0,359.45,2.42,179.75,184.34
