frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,179.16,176.64,359.56,0.08,168.31,161.75
1,174.78,175.33,355.27,354.87,178.36,175.41
2,173.21,172.26,354.82,352.43,180.88,179.58
3,171.76,172.95,354.49,351.37,182.81,184.94
4,172.28,170.65,355.06,352.27,183.96,186.55
5,171.39,171.4,354.62,352.93,185.0,189.21
6,167.95,170.66,354.0,353.88,185.0,188.32
7,164.11,167.62,355.14,354.85,184.81,188.16
8,158.59,164.14,354.19,355.18,184.66,187.06
9,155.03,162.08,354.94,354.51,182.3,185.13
10,152.36,157.71,356.1,354.87,181.77,184.14
11,146.17,155.13,355.8,354.44,180.86,184.99
12,139.26,148.18,355.4,354.65,182.08,183.68
13,133.59,144.21,355.55,354.09,182.45,123.66
14,127.58,134.47,355.07,352.95,182.79,148.85
15,123.34,124.02,354.97,351.91,183.52,110.74
16,116.16,116.54,355.01,351.44,183.51,181.5
17,101.11,100.1,355.66,352.51,184.24,186.91
18,92.84,95.92,355.66,352.5,184.22,189.89
19,89.3,91.46,357.06,353.56,184.22,190.28
20,83.74,80.04,357.01,353.2,185.46,191.65
21,80.89,74.39,357.35,352.84,185.83,191.85
22,74.86,69.15,0.47,355.05,186.23,191.41
23,71.4,66.79,3.55,356.5,186.6,191.47
24,69.38,65.87,7.37,359.67,187.47,191.91
25,66.87,62.97,9.92,1.41,187.1,192.23
26,65.2,60.11,11.45,3.0,187.1,192.92
27,64.39,55.89,14.76,4.04,187.07,192.77
28,62.53,54.0,16.79,6.15,185.83,192.77
29,61.08,50.07,18.29,7.16,185.36,191.06
30,56.85,48.74,18.92,8.23,185.36,190.74
31,53.55,48.6,19.67,8.23,184.12,190.74
32,51.38,45.59,21.79,10.86,184.15,191.35
33,50.71,39.21,23.35,11.89,183.3,189.85
34,51.41,38.29,23.34,12.27,183.3,188.97
35,50.3,37.23,24.56,11.56,183.31,188.94
36,47.82,36.01,25.65,11.11,182.02,188.04
37,41.86,33.2,28.03,13.14,181.0,188.04
38,39.7,32.31,28.11,13.16,181.12,187.97
39,38.66,31.38,27.6,12.87,180.75,187.64
40,37.97,30.73,27.11,12.87,180.38,187.64
41,38.08,31.43,27.02,13.08,180.76,187.57
42,37.78,29.32,26.72,12.79,180.76,187.22
43,37.68,28.2,27.24,12.48,181.13,186.84
44,37.55,28.82,26.94,12.66,181.13,186.84
45,37.32,28.37,27.54,14.05,181.13,186.84
46,37.8,26.54,28.17,14.73,181.13,187.39
47,37.84,26.27,28.5,16.0,181.12,187.51
48,39.52,26.67,29.27,16.76,181.88,188.43
49,40.44,26.37,29.69,16.33,182.66,187.61
50,41.25,25.52,30.23,16.39,183.05,186.84
51,42.6,25.25,30.42,15.26,183.44,186.72
52,43.2,25.56,29.49,14.88,183.43,186.72
53,44.02,27.1,28.76,15.19,183.8,187.09
54,45.43,29.6,28.58,14.44,182.92,187.85
55,47.4,32.18,28.54,13.75,183.3,187.79
56,51.96,36.35,32.01,17.01,183.68,188.24
57,58.18,43.6,42.84,28.39,183.64,187.35
58,67.01,56.55,52.83,41.52,183.37,187.63
59,74.28,68.2,60.37,51.64,182.61,187.58
