frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,193.54,203.46,351.27,13.89,180.66,167.3
1,197.34,208.97,350.1,14.14,181.56,169.23
2,197.47,210.4,349.25,14.16,181.84,169.71
3,198.77,212.59,348.2,13.81,182.28,170.96
4,199.42,216.1,346.92,13.41,182.65,172.89
5,202.37,218.64,345.7,12.89,185.01,175.06
6,207.06,222.44,344.15,12.55,187.59,176.36
7,212.48,227.11,344.0,12.89,187.31,175.84
8,218.03,229.85,344.43,13.05,187.04,175.6
9,225.64,236.73,343.58,13.3,187.26,175.34
10,230.97,253.59,343.44,13.64,186.92,174.57
11,236.43,255.5,343.88,13.95,186.17,173.64
12,240.56,262.46,344.05,14.45,185.71,172.75
13,249.75,258.9,344.03,14.93,185.97,172.56
14,254.56,251.96,344.24,15.8,185.66,172.05
15,256.17,230.81,344.04,15.75,184.77,171.0
16,256.62,218.36,343.46,16.11,184.73,170.41
17,258.02,204.9,343.61,17.01,183.83,168.85
18,258.03,233.63,343.93,14.47,183.73,169.08
19,259.89,241.63,344.22,14.26,184.12,169.26
20,262.16,237.93,342.12,13.58,184.2,169.34
21,260.71,264.73,341.06,11.15,184.26,169.39
22,260.17,268.81,340.41,11.5,184.37,169.69
23,260.36,276.25,340.53,10.12,184.33,169.31
24,260.59,284.6,341.01,10.47,184.32,169.31
25,263.68,277.31,344.0,10.61,184.66,169.39
26,262.98,274.76,344.55,10.9,184.91,169.5
27,262.55,247.29,344.67,11.67,185.01,169.53
28,262.47,260.4,344.61,11.67,184.99,169.52
29,260.37,261.35,344.62,12.06,185.09,169.52
30,253.93,257.35,345.58,12.38,184.92,169.6
31,251.01,258.43,346.06,12.77,184.84,169.46
32,253.53,262.64,346.55,13.81,184.83,169.55
33,255.37,243.02,347.19,14.33,185.07,169.54
34,252.33,221.68,346.81,14.04,185.54,170.31
35,247.18,229.34,346.07,13.56,186.21,171.19
36,242.96,239.64,345.67,13.62,186.72,172.07
37,238.71,231.57,345.08,13.52,186.74,173.3
38,234.55,229.89,344.88,13.34,187.44,174.02
39,229.75,228.56,345.28,13.17,186.84,174.26
40,225.09,226.06,345.82,13.11,187.02,174.73
41,220.68,223.72,345.72,13.06,187.07,174.95
42,215.69,220.76,345.8,12.96,187.01,175.11
43,212.15,218.37,345.89,12.6,186.63,175.22
44,209.69,216.63,346.38,12.2,185.87,175.19
45,207.16,214.12,346.89,12.24,184.41,174.36
46,203.91,212.74,347.21,12.81,183.4,172.76
47,199.91,211.75,347.43,12.88,182.9,172.22
48,198.69,209.88,347.69,13.17,181.77,170.61
49,195.58,207.84,347.83,13.37,180.95,169.04
50,192.64,206.19,348.21,13.3,180.74,168.74
51,189.33,203.48,349.13,12.97,180.57,166.7
52,186.98,201.04,349.79,13.1,179.66,164.78
53,185.88,199.21,350.66,12.47,179.93,164.24
54,184.91,197.67,351.24,12.55,179.63,163.68
55,184.57,195.21,351.68,12.74,179.02,161.15
56,182.64,193.75,351.17,12.63,179.11,160.89
57,181.48,193.23,351.35,12.87,179.08,160.29
58,181.68,192.36,351.55,12.85,178.6,160.45
59,182.49,191.35,352.17,12.79,178.04,160.51
60,183.25,190.46,352.63,12.8,177.85,160.48
61,186.19,190.05,354.08,12.94,177.44,161.01
62,186.51,189.38,355.1,12.99,177.03,162.04
63,186.13,188.86,354.61,13.08,177.07,162.75
64,186.48,188.97,354.33,13.4,176.76,163.83
65,186.91,189.46,354.22,13.8,175.88,163.97
66,186.91,189.62,354.03,13.81,175.06,164.32
67,186.53,190.13,353.74,13.92,174.52,164.45
