frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,172.36,165.71,6.31,359.19,181.98,174.26
1,172.48,168.5,6.1,0.13,182.48,174.67
2,172.26,167.66,5.96,359.52,182.67,175.28
3,171.47,166.94,5.57,358.9,182.66,175.95
4,171.86,166.81,5.55,358.9,182.97,175.43
5,172.72,166.5,5.69,358.9,183.18,175.04
6,173.18,167.19,5.75,359.28,183.18,175.61
7,173.18,168.05,5.73,359.68,183.19,175.57
8,173.18,168.87,5.73,0.07,183.19,175.49
9,173.57,169.87,5.72,0.48,183.21,175.51
10,173.92,168.62,6.08,359.7,183.19,175.49
11,173.92,168.62,6.08,359.7,183.19,175.55
12,174.33,168.62,6.28,359.7,183.4,175.79
13,174.33,169.02,6.28,359.88,183.4,176.38
14,174.33,169.02,6.28,359.88,183.4,176.97
15,174.33,169.02,6.28,359.88,183.4,176.97
16,174.33,169.02,6.28,359.88,183.4,176.87
17,174.33,169.02,6.28,359.9,183.4,176.8
18,175.14,169.02,6.69,359.9,183.39,177.28
19,175.14,169.02,6.69,359.92,183.1,177.36
20,175.14,168.18,6.7,359.52,183.08,177.31
21,174.39,167.34,6.36,359.12,183.08,177.21
22,174.39,166.37,6.36,358.7,183.08,177.23
23,174.04,166.53,6.2,358.73,182.89,176.8
24,174.04,165.69,6.2,358.33,182.89,177.37
25,173.12,165.28,5.81,357.94,183.17,177.36
26,172.66,164.45,5.85,357.54,183.49,177.73
27,172.34,163.47,5.91,357.35,183.49,177.14
28,170.56,163.47,5.21,357.35,183.49,177.23
29,168.08,163.32,4.8,357.35,183.19,177.81
30,165.2,162.48,4.5,356.95,182.89,178.4
31,162.51,162.04,4.29,356.97,183.4,178.37
32,158.91,160.39,3.88,356.76,183.4,179.36
33,156.68,157.43,3.85,356.56,183.13,179.46
34,151.73,154.88,3.67,355.93,182.96,179.66
35,147.78,154.26,3.61,355.69,182.98,180.26
36,143.09,148.73,3.79,355.71,182.49,180.21
37,137.8,144.33,4.08,356.05,182.81,181.07
38,133.37,143.69,4.02,356.61,182.83,182.0
39,128.56,142.55,4.01,357.37,182.85,182.04
40,125.01,137.64,4.34,358.13,183.16,182.12
41,121.4,137.69,4.66,358.7,183.19,181.64
42,117.62,134.28,5.0,359.27,182.91,181.87
43,113.68,129.86,5.35,359.28,182.92,181.26
44,109.9,121.82,5.18,359.1,183.42,181.85
45,105.11,115.67,4.99,358.75,183.4,182.58
46,100.63,104.38,4.67,358.76,183.41,182.22
47,95.57,94.88,4.51,358.39,182.95,181.52
48,91.8,89.1,4.44,358.52,182.72,181.09
49,88.98,85.44,4.23,358.59,181.98,180.62
50,83.68,83.17,4.54,358.58,181.77,180.93
51,79.7,79.06,4.95,359.2,181.76,180.72
52,76.14,75.58,5.23,359.43,181.54,180.82
53,72.59,70.89,5.23,359.55,181.54,180.59
54,67.87,67.31,5.83,0.99,181.01,180.66
55,63.58,60.3,6.48,4.73,181.07,180.55
56,58.55,57.12,6.71,5.38,181.12,177.67
57,55.65,55.02,6.66,5.18,181.11,178.92
58,53.01,51.3,6.58,4.45,180.88,179.83
59,51.56,46.54,6.72,3.21,181.39,178.87
60,49.44,44.98,6.99,4.26,180.89,177.58
61,49.24,43.31,7.28,4.94,181.34,176.97
62,49.44,41.33,7.85,4.57,181.29,177.26
63,49.71,41.63,7.85,4.57,181.3,177.51
64,50.85,42.72,7.7,5.02,181.08,177.09
65,51.37,43.34,7.66,2.5,181.05,176.56
66,53.24,46.84,7.39,3.09,181.54,177.2
67,58.51,50.01,7.1,2.44,182.19,177.44
68,66.18,58.77,7.17,0.81,182.13,177.48
69,72.53,64.6,6.94,0.35,181.96,178.22
70,78.08,69.83,6.71,359.76,181.77,177.64
71,84.42,76.56,6.34,358.95,182.06,177.71
72,90.43,83.86,5.55,358.96,182.07,177.76
73,98.24,93.13,5.67,358.48,182.02,178.25
74,104.05,112.44,5.6,358.24,182.06,178.53
75,108.79,117.68,5.6,359.2,182.33,178.0
76,115.29,135.43,6.13,359.76,181.83,179.88
77,120.62,137.58,6.11,359.32,181.85,180.27
78,125.32,136.91,6.08,359.72,181.83,180.05
79,129.27,138.67,6.08,359.71,181.57,180.04
80,132.4,142.69,6.27,359.55,181.32,179.77
81,136.43,144.11,6.14,358.59,181.08,180.12
82,141.52,149.05,6.2,358.24,180.61,179.33
83,147.31,149.91,7.06,358.21,180.39,179.68
84,151.73,152.32,6.72,358.26,180.38,178.63
85,154.14,153.81,6.15,358.27,181.44,178.63
