frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,163.48,169.02,353.82,359.13,160.89,164.07
1,164.33,169.7,350.21,355.44,169.4,169.59
2,162.29,168.98,347.48,352.22,174.09,175.01
3,163.57,169.56,348.43,352.42,174.47,175.98
4,163.89,163.19,348.76,348.65,174.97,177.27
5,163.7,169.45,348.93,348.85,175.82,178.79
6,163.67,176.12,348.93,351.86,176.35,180.66
7,162.83,175.24,348.43,352.22,177.19,180.27
8,163.74,173.66,349.76,351.1,177.56,181.77
9,162.26,172.93,349.43,350.75,178.41,182.69
10,161.78,169.45,350.15,350.88,180.5,183.25
11,158.68,166.79,350.7,351.39,181.38,183.57
12,157.22,162.16,352.31,352.23,181.35,183.53
13,154.44,156.99,353.23,352.34,181.72,183.44
14,153.7,154.29,355.17,352.72,179.96,182.5
15,151.3,152.08,356.48,355.25,179.96,182.87
16,151.09,151.71,358.07,355.97,180.31,182.33
17,147.58,151.82,359.4,357.08,180.32,180.86
18,139.21,140.04,1.41,357.06,180.28,182.65
19,133.67,134.23,1.8,357.06,179.39,181.89
20,130.42,131.63,2.53,357.42,179.37,181.58
21,122.75,126.88,2.9,357.44,178.0,181.57
22,115.19,118.62,2.9,357.78,178.0,181.87
23,104.53,99.94,3.62,358.09,177.99,182.22
24,99.74,95.71,5.7,358.1,178.0,182.2
25,94.09,88.88,6.4,358.46,178.0,182.58
26,90.25,80.54,8.16,358.47,177.62,182.56
27,86.48,76.97,9.54,359.6,177.62,183.46
28,78.28,73.62,11.69,2.6,177.63,183.46
29,74.26,69.59,13.06,2.96,177.63,184.84
30,70.08,64.94,13.43,2.97,176.76,184.82
31,66.71,62.28,14.94,5.21,176.76,184.82
32,65.03,59.74,16.72,6.8,175.5,185.33
33,63.23,57.16,19.18,10.1,175.5,186.22
34,60.14,56.06,19.18,10.82,175.5,186.72
35,59.49,52.75,21.0,11.54,175.5,187.23
36,56.99,48.81,21.77,12.31,175.88,186.46
37,53.65,45.8,22.03,11.24,175.86,187.09
38,49.77,41.58,22.97,10.9,175.86,186.2
39,48.22,38.61,23.64,10.52,175.88,186.58
40,47.14,37.59,23.9,11.0,175.88,187.45
41,46.35,36.24,24.18,10.43,175.88,187.49
42,45.92,35.07,24.46,11.17,175.88,186.99
43,45.59,34.27,25.54,11.17,175.89,186.99
44,46.5,33.87,25.85,11.71,175.88,187.38
45,46.06,34.27,26.51,12.64,175.03,186.85
46,45.35,34.78,25.81,12.46,175.05,187.28
47,46.0,34.46,25.43,12.62,175.89,187.16
48,45.35,34.97,25.43,12.83,175.89,187.16
49,45.65,34.21,25.73,12.46,175.89,186.78
50,46.36,33.24,26.44,11.7,175.41,185.49
51,46.36,32.94,26.44,11.3,175.41,186.4
52,47.06,32.65,26.77,11.09,175.78,186.01
53,47.06,33.43,27.14,11.88,174.92,186.01
54,47.44,33.5,26.46,11.49,174.92,185.62
55,47.44,33.01,26.44,11.31,174.92,185.62
56,47.44,33.01,26.44,11.31,174.92,185.11
57,47.44,32.53,26.44,11.13,174.92,185.11
58,48.46,32.53,27.1,11.14,175.28,185.14
59,49.57,32.53,27.41,11.14,175.65,185.14
60,49.57,33.36,27.41,11.14,175.65,185.14
61,50.3,33.36,27.79,11.53,174.29,184.24
62,51.03,34.49,27.79,11.36,174.29,184.24
63,51.77,35.28,27.46,10.97,174.29,185.14
64,52.78,34.81,28.15,11.22,174.29,184.0
65,55.06,37.48,28.5,11.98,174.27,184.0
66,56.06,38.22,28.48,12.33,174.26,184.38
67,58.12,39.67,29.17,12.33,174.26,184.38
68,59.65,43.81,28.83,12.7,174.29,185.28
69,62.02,46.56,29.17,11.95,174.26,185.25
70,64.07,48.27,29.15,12.3,174.77,185.63
71,66.04,50.23,29.15,12.67,174.79,185.53
72,69.1,52.89,28.45,12.61,174.78,186.28
73,75.46,57.76,28.45,11.33,174.78,186.32
74,77.49,59.98,26.72,9.04,174.8,186.85
75,78.99,61.63,25.35,7.76,175.17,187.22
76,81.64,67.68,24.07,7.38,175.17,187.6
77,86.96,73.86,23.0,7.38,176.03,187.6
78,90.45,76.82,20.96,4.62,175.67,188.48
79,95.54,79.32,19.46,3.03,177.05,187.94
80,96.92,83.44,17.03,1.52,177.54,187.42
81,100.6,88.33,16.36,2.3,177.54,186.13
82,102.76,96.17,15.69,2.74,177.54,187.01
83,110.09,114.52,13.32,3.04,177.17,186.15
84,114.28,118.74,12.95,2.26,177.54,186.17
85,121.2,124.99,13.31,2.94,177.17,186.2
86,126.1,127.44,12.97,2.12,176.8,186.68
87,132.83,137.98,11.56,1.33,177.29,186.68
88,141.13,133.96,8.69,0.65,178.52,95.42
89,141.25,136.72,4.37,0.66,180.72,139.69
90,142.46,139.83,3.58,359.57,180.72,179.99
91,146.5,141.93,3.91,359.23,179.89,183.47
92,148.87,147.41,3.49,359.24,180.8,185.12
93,155.46,157.6,3.12,359.26,180.43,184.36
94,158.33,158.8,2.13,359.64,179.57,183.94
95,161.57,159.86,1.46,358.93,179.57,183.47
96,161.62,162.24,0.87,358.98,178.31,182.08
97,162.47,165.75,359.59,357.92,178.32,181.18
98,162.43,167.53,356.21,356.77,178.32,182.12
99,164.03,166.99,354.23,353.52,178.83,183.15
