frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,172.6,174.2,354.1,354.14,186.0,188.52
1,172.57,174.18,354.1,354.44,185.95,187.56
2,173.3,174.18,354.1,354.44,185.95,187.63
3,173.28,174.13,354.45,354.44,185.6,187.63
4,173.28,173.26,354.45,354.43,185.6,186.96
5,173.3,173.54,354.45,354.08,185.6,187.93
6,173.19,173.65,354.74,353.77,185.95,188.89
7,170.46,170.78,354.21,353.75,185.95,190.75
8,169.7,168.22,354.48,353.77,186.27,190.69
9,167.67,165.3,354.52,353.11,187.03,191.28
10,162.18,161.5,355.45,352.76,184.62,190.02
11,155.64,159.56,355.09,353.05,184.48,187.62
12,147.25,152.72,353.75,352.1,184.48,183.85
13,144.09,147.09,354.01,351.38,183.58,157.5
14,140.03,139.54,352.82,347.92,183.94,138.25
15,127.54,136.26,352.62,346.92,183.93,177.77
16,124.72,134.76,352.74,346.86,183.56,186.42
17,122.88,129.08,352.2,347.43,184.43,189.31
18,112.84,126.55,352.2,347.83,184.41,190.17
19,95.45,115.81,351.52,347.21,186.2,191.01
20,83.86,89.44,355.21,349.5,187.43,192.14
21,80.1,77.56,356.98,350.23,187.79,193.32
22,73.0,70.96,357.69,351.75,187.83,193.26
23,71.59,66.51,358.01,354.65,187.68,193.86
24,68.46,64.68,359.05,356.1,188.03,193.79
25,60.19,56.03,0.78,356.1,188.91,193.86
26,57.21,50.93,2.73,357.55,188.53,193.86
27,55.18,49.23,5.69,359.04,188.53,194.6
28,52.58,46.36,7.25,0.16,188.53,194.39
29,51.54,45.82,7.25,0.51,188.5,194.76
30,48.25,54.47,9.5,2.44,186.97,192.77
31,48.32,47.36,10.74,3.72,186.6,191.8
32,45.86,44.01,10.74,4.44,186.6,192.35
33,45.03,42.38,12.0,5.88,185.73,192.35
34,44.05,40.22,12.16,5.19,186.1,190.87
35,42.5,37.0,12.16,4.84,186.1,190.5
36,41.91,35.64,11.99,4.84,186.08,190.5
37,40.36,35.53,12.01,5.23,186.1,191.42
38,39.22,36.25,12.37,5.96,185.73,190.88
39,37.74,34.14,11.67,5.7,186.24,190.84
40,36.31,34.03,11.53,5.33,186.25,191.25
41,36.0,35.43,11.7,5.33,186.25,191.25
42,34.8,35.19,10.83,5.67,186.25,191.62
43,34.07,34.95,9.3,4.87,186.23,191.07
44,35.37,41.89,9.44,5.2,186.23,190.87
45,36.55,40.5,9.09,4.51,186.59,191.43
46,40.2,43.02,6.99,3.47,188.87,191.58
47,43.85,45.32,5.95,3.11,189.23,192.49
48,47.52,45.32,4.53,2.7,189.26,192.84
49,50.1,46.21,2.73,2.36,189.65,192.97
50,58.1,55.29,3.4,1.3,189.18,193.91
51,63.77,60.09,2.4,1.3,189.58,194.44
52,68.74,65.29,1.28,0.95,190.02,194.07
53,74.31,68.06,0.22,358.42,189.69,193.77
54,77.63,72.3,0.22,356.96,189.72,193.77
55,85.47,82.86,359.46,356.18,188.98,193.27
56,97.43,95.99,359.38,355.79,188.31,192.96
57,107.29,114.65,359.02,355.44,187.94,192.05
58,126.56,138.24,358.01,352.54,188.11,192.1
59,131.91,140.68,357.36,351.75,187.31,192.14
60,135.18,140.91,356.31,349.93,186.44,189.93
61,135.99,142.4,354.9,349.2,186.44,189.45
62,137.48,142.82,353.93,349.22,186.04,188.0
63,141.14,147.07,353.22,349.87,185.54,184.88
64,145.18,147.44,351.77,348.91,187.33,185.12
65,152.18,155.07,350.77,349.39,189.96,187.29
66,156.84,160.15,350.46,349.42,190.85,188.39
67,156.31,161.86,350.2,349.86,191.73,189.84
68,157.57,162.86,350.23,349.93,191.7,189.78
69,161.36,165.44,350.89,350.63,191.64,190.25
70,162.11,164.87,350.98,350.91,190.38,189.85
71,163.62,167.18,351.01,351.63,190.36,189.8
72,166.13,168.46,352.13,352.41,188.98,189.83
73,169.03,172.22,352.64,353.27,188.06,188.0
74,168.58,172.39,353.11,354.06,185.97,186.15
75,170.46,171.52,353.53,354.08,185.09,186.21
76,171.26,172.47,353.53,354.48,185.09,185.88
77,172.78,173.4,353.2,354.13,184.21,185.57
78,173.53,171.03,353.2,353.4,184.21,185.61
79,174.11,171.03,353.78,353.78,184.2,184.0
80,174.23,172.85,353.51,353.46,183.32,183.64
81,175.69,173.7,353.44,353.1,183.32,184.6
82,175.71,173.69,353.44,352.74,183.87,185.6
83,175.62,173.69,353.38,352.74,183.87,185.6
84,175.62,173.69,353.38,352.37,183.84,186.54
85,175.62,175.24,353.38,353.06,183.84,186.57
