frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,175.35,175.95,355.93,358.97,178.23,185.57
1,171.85,172.22,353.5,357.53,180.06,180.93
2,170.61,170.48,352.58,358.4,183.92,184.71
3,169.71,173.08,354.41,358.73,179.63,179.93
4,167.26,170.71,355.05,359.81,179.36,181.52
5,167.71,170.0,356.95,359.25,178.78,181.58
6,167.75,168.27,358.12,359.39,178.54,181.62
7,166.18,167.89,359.42,359.34,177.74,181.33
8,162.58,164.78,359.95,1.15,177.49,180.65
9,161.57,165.39,0.94,0.96,177.15,181.29
10,157.83,165.65,2.55,0.82,177.85,182.55
11,153.12,161.84,3.53,1.14,177.89,186.17
12,150.9,160.88,4.48,1.09,181.17,185.89
13,145.5,159.48,5.46,1.54,180.12,185.89
14,135.41,152.28,5.0,1.94,180.4,186.33
15,126.62,137.21,5.53,2.46,179.84,185.64
16,120.46,129.75,7.67,2.99,180.02,186.15
17,115.14,118.6,9.99,3.91,180.53,185.76
18,109.28,114.19,10.99,4.12,181.07,185.96
19,104.09,97.05,13.19,4.74,181.39,185.67
20,98.22,92.63,14.86,5.89,181.57,185.38
21,93.42,80.57,18.83,7.5,181.7,185.48
22,89.44,82.38,20.97,9.7,181.94,185.11
23,84.93,81.78,21.27,12.08,181.98,184.99
24,84.41,71.11,22.52,14.01,182.54,184.28
25,83.13,69.36,25.15,18.24,182.15,183.57
26,80.56,69.64,25.5,19.69,182.2,184.13
27,76.18,66.78,26.26,20.92,181.86,183.7
28,72.57,66.58,25.02,19.61,181.57,183.26
29,68.52,57.19,24.85,18.25,181.4,182.72
30,63.38,50.07,24.48,17.51,181.4,183.07
31,58.17,42.68,24.38,15.94,181.38,184.41
32,53.53,31.58,24.38,12.48,181.22,182.39
33,51.64,22.27,25.24,9.2,181.58,182.3
34,51.53,21.99,24.95,8.72,181.14,182.05
35,53.05,17.48,25.06,7.84,181.65,183.31
36,56.02,19.87,24.48,8.84,182.17,183.84
37,58.19,20.93,23.43,8.97,182.56,184.11
38,60.2,21.5,23.11,9.27,182.33,183.42
39,61.35,26.94,22.89,10.11,182.8,183.66
40,64.51,40.22,21.02,12.21,182.83,185.09
41,67.22,46.98,20.18,16.01,183.01,182.46
42,69.86,58.57,18.84,15.24,183.67,183.88
43,73.99,62.05,16.63,12.7,184.75,183.8
44,77.31,68.33,16.16,12.67,185.41,186.61
45,80.91,67.87,15.36,13.22,185.56,186.8
46,86.58,70.03,15.34,7.87,185.8,187.01
47,89.87,72.11,14.79,5.88,185.09,185.57
48,93.01,73.71,13.88,5.94,184.6,185.07
49,98.4,87.94,12.49,3.88,183.71,185.24
50,103.33,91.35,11.28,3.34,183.55,184.88
51,109.97,108.68,11.09,3.31,182.98,187.46
52,114.75,112.28,10.17,2.08,182.78,188.61
53,119.34,116.89,10.13,0.89,182.32,189.0
54,123.54,125.98,8.67,1.69,182.12,188.87
55,127.19,131.41,7.07,1.52,182.07,187.8
56,130.84,136.77,6.47,1.04,181.34,188.16
57,134.24,143.12,6.19,0.67,180.48,186.87
58,137.51,150.51,5.41,359.34,179.04,183.61
59,141.03,146.61,4.98,359.5,180.0,183.2
60,145.7,149.56,4.73,358.67,180.38,181.78
61,149.03,150.19,4.44,357.78,180.33,181.87
62,150.92,152.3,3.86,357.6,180.42,181.81
63,153.87,157.25,3.17,357.28,179.78,182.72
64,156.91,157.71,2.64,357.34,179.86,182.66
65,158.22,158.68,2.25,357.92,180.15,182.34
66,160.24,160.26,2.05,358.92,180.3,181.58
67,161.34,161.08,2.12,359.65,180.2,183.54
68,162.48,161.74,1.91,359.54,180.04,182.98
69,163.12,164.43,1.26,359.55,180.91,182.76
70,164.57,165.18,1.13,359.76,180.28,181.98
71,164.9,166.79,0.5,0.29,180.41,180.18
72,166.64,167.45,0.01,359.77,181.1,180.09
73,168.64,168.8,359.69,359.19,181.49,179.48
74,170.27,167.67,359.61,358.49,181.03,180.88
75,172.06,167.77,358.99,358.31,179.43,179.09
76,171.51,168.47,357.93,357.95,179.21,179.03
77,172.04,169.98,357.3,357.76,178.89,179.75
78,172.63,172.69,356.35,357.74,180.47,179.01
79,173.12,171.98,355.49,357.32,181.7,178.91
80,174.01,171.66,355.07,356.33,181.7,178.31
81,174.03,174.96,354.91,355.77,182.07,178.9
82,173.94,176.24,353.7,355.7,182.41,179.77
83,173.43,176.0,353.04,355.46,182.89,178.65
84,173.52,176.43,352.79,355.34,183.17,179.76
85,172.94,176.92,352.38,355.25,183.62,179.91
