frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,209.95,208.42,346.16,10.88,188.01,169.97
1,227.66,215.89,345.33,12.52,191.21,171.8
2,241.72,226.43,345.1,13.05,190.54,171.37
3,251.54,244.24,344.42,14.12,189.81,169.91
4,260.0,273.75,344.42,15.19,188.06,167.69
5,260.21,289.0,338.2,6.02,187.1,166.88
6,264.68,295.8,337.06,359.05,187.03,167.23
7,273.3,295.7,335.2,0.34,187.1,165.96
8,284.35,291.76,336.5,3.17,186.23,165.13
9,290.9,300.7,337.78,8.68,185.94,165.25
10,292.18,306.82,338.2,11.97,185.57,165.07
11,304.07,317.66,339.69,12.62,185.23,164.18
12,313.64,325.56,341.21,12.28,184.88,164.24
13,319.13,326.61,342.22,12.6,184.49,164.56
14,321.15,327.35,343.42,12.57,184.96,164.88
15,322.78,327.7,344.01,12.62,184.73,164.97
16,322.14,326.72,344.14,12.38,184.41,164.87
17,321.35,325.04,344.32,12.48,184.22,164.6
18,319.34,323.64,345.18,12.25,184.21,164.69
19,311.46,314.88,344.4,12.36,183.94,164.43
20,303.3,299.72,340.4,12.99,183.73,164.04
21,288.34,289.59,338.71,9.23,183.53,164.2
22,274.72,288.5,334.12,5.32,183.77,164.6
23,258.12,282.15,333.66,0.75,183.56,165.01
24,248.76,285.19,333.71,2.81,183.93,164.98
25,247.43,275.71,338.16,10.89,184.11,165.43
26,241.47,234.35,342.58,13.18,184.94,166.99
27,232.49,216.59,343.5,13.26,186.35,168.97
28,225.65,218.74,343.58,13.56,187.14,170.06
29,216.18,216.96,342.94,13.11,188.75,172.45
30,207.26,211.87,343.28,12.95,188.57,172.24
31,202.3,209.54,344.06,13.03,188.69,171.94
32,198.57,207.86,345.37,13.37,187.55,169.77
33,195.78,205.76,347.14,13.84,185.33,166.77
34,194.11,203.24,347.92,13.29,185.56,166.22
35,192.86,200.05,348.77,13.07,185.71,165.14
36,191.41,197.74,349.4,13.13,186.0,164.39
37,189.88,195.65,349.83,13.28,185.6,163.41
38,188.7,192.57,350.36,13.4,184.73,162.26
39,187.34,191.33,350.86,13.34,183.93,161.47
40,183.84,189.74,350.99,12.71,184.24,161.7
41,181.55,187.98,351.2,12.06,183.47,162.15
42,181.95,186.82,351.47,11.76,183.04,162.2
43,182.94,186.44,351.45,11.62,183.05,162.32
44,182.5,186.68,351.03,11.8,182.62,161.93
45,182.28,186.28,350.92,11.85,181.93,161.79
46,181.82,186.85,350.49,12.11,181.72,161.68
47,180.69,186.66,349.94,12.01,181.61,161.98
48,180.02,186.65,349.47,12.02,181.69,162.01
49,180.03,187.04,349.38,12.09,181.81,162.14
50,180.03,186.83,349.26,12.09,181.73,162.02
51,179.58,187.22,349.07,12.26,181.68,161.86
52,179.38,187.02,348.88,12.26,181.66,161.86
53,179.13,187.02,348.77,12.18,181.89,162.12
54,178.66,187.22,348.56,12.29,181.87,162.02
55,178.87,187.59,348.54,12.44,181.85,162.01
