,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,152.39,152.15,336.98,25.66,190.66,152.54
1,146.44,140.6,340.41,20.5,188.44,124.64
2,146.09,127.33,336.74,16.7,179.16,159.04
3,137.9,112.2,341.0,11.58,187.98,173.14
4,127.23,147.9,343.01,5.34,189.52,178.76
5,102.93,116.37,344.7,6.94,188.07,174.75
6,107.14,87.33,347.05,8.83,188.25,176.78
7,107.91,82.17,348.6,7.07,187.05,176.73
8,108.57,82.28,345.97,6.07,188.71,178.22
9,104.45,83.8,346.21,6.59,187.45,177.13
10,101.55,83.94,346.21,6.11,187.99,176.62
11,99.33,81.05,343.66,6.27,187.35,177.42
12,101.18,83.88,345.73,6.43,187.61,178.32
13,111.16,91.77,346.38,4.87,188.22,179.28
14,94.16,140.6,346.73,2.58,188.87,179.48
15,91.31,152.92,346.52,0.95,190.11,180.02
16,79.01,143.55,347.6,1.75,190.06,180.32
17,87.19,128.68,347.61,2.12,190.37,180.5
18,90.16,108.3,349.12,2.71,189.89,180.62
19,93.42,104.45,349.05,2.85,189.78,180.41
20,102.12,111.42,348.17,3.34,190.25,181.13
21,108.84,118.6,347.03,3.56,190.77,180.95
22,112.8,122.45,347.26,4.39,190.82,179.93
23,129.98,126.63,347.34,5.2,190.84,179.15
24,134.03,131.54,346.48,6.45,190.18,177.8
25,135.74,136.31,346.32,7.39,189.08,176.65
26,136.92,139.99,346.63,7.96,187.29,176.48
27,138.51,143.31,346.54,8.74,187.24,176.47
28,141.93,147.67,346.85,8.98,186.96,176.44
29,143.76,154.06,347.52,8.88,186.31,176.04
30,147.43,157.61,348.32,8.88,185.98,175.68
31,150.98,161.2,348.99,8.44,186.37,175.63
32,153.74,163.78,349.6,8.06,186.63,175.35
33,155.54,164.67,349.94,7.63,186.89,175.48
34,157.52,164.73,350.43,6.87,187.27,174.49
35,159.04,163.75,350.52,6.17,186.92,174.35
36,160.57,163.09,350.79,5.38,186.79,174.44
37,162.06,162.93,350.71,4.76,188.03,175.7
38,163.09,161.93,350.83,4.21,187.44,175.33
39,165.8,162.32,351.69,3.9,186.99,175.24
40,167.88,162.94,352.48,3.88,186.93,175.06
41,169.54,162.94,353.21,3.14,186.77,175.81
42,171.49,162.92,353.49,2.46,186.79,175.74
43,172.63,162.18,353.47,2.01,187.11,175.84
44,174.22,161.05,353.41,1.36,187.02,175.91
45,174.12,162.07,353.15,0.83,186.98,175.89
46,173.63,162.04,352.96,1.03,187.17,175.88
47,173.16,161.75,352.65,1.05,187.17,175.9
48,172.71,161.54,352.67,1.05,186.66,175.88
