,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,255.95999999999998,278.42,346.36,357.78,182.44,172.88
1,223.57,271.75,344.63,7.06,183.37,177.15
2,283.81,282.05,353.92,8.03,188.45,177.63
3,288.0,281.35,355.41,11.32,191.74,179.97
4,295.48,289.5,355.45,13.85,189.78,179.59
5,301.79,295.79,352.5,12.68,190.47,180.25
6,310.8,301.08,350.3,13.12,189.57,180.12
7,309.14,299.21,350.4,16.29,191.35,181.39
8,316.96,305.87,351.99,12.65,190.66,179.82
9,318.74,303.07,351.15,30.06,191.03,177.26
10,319.1,302.73,351.44,24.07,190.52,177.08
11,316.82,293.09000000000003,350.57,23.15,190.97,178.85
12,317.12,296.94,350.86,18.09,193.21,178.76
13,313.28,292.04,350.07,16.34,192.63,178.92
14,311.75,291.21,348.98,16.73,192.18,173.75
15,308.21,297.27,351.46,13.36,192.18,176.43
16,304.65,294.93,351.85,12.82,191.36,177.18
17,303.51,285.86,354.01,9.68,190.7,174.91
18,289.59000000000003,279.06,352.01,9.49,190.31,171.38
19,257.1,268.65999999999997,350.59,8.09,190.16,170.61
20,249.25,254.70999999999998,350.58,7.32,191.33,170.1
21,245.25,242.05,350.91,4.42,192.27,173.04
22,246.1,243.75,353.0,6.22,191.85,174.23
23,255.09,245.01,353.35,6.52,192.09,174.44
24,253.05,242.49,352.88,7.22,192.57,175.12
25,227.96,239.09,352.41,7.24,192.27,175.64
26,224.62,234.93,350.57,7.51,192.6,177.05
27,222.06,231.88,348.23,7.44,192.67,177.47
28,218.94,226.58,347.49,8.1,191.92,177.18
29,218.89,220.16,347.35,8.98,189.56,177.74
30,215.7,217.08,348.22,9.63,188.93,177.51
31,214.79,214.55,348.42,9.85,189.04,177.74
32,212.87,211.84,349.3,10.16,188.3,177.31
33,209.59,207.8,349.96,10.21,188.13,177.24
34,208.46,203.77,350.44,9.66,188.29,177.53
35,205.7,201.76,351.42,9.28,188.42,177.81
36,203.08,198.35,352.28,8.94,188.35,178.01
37,201.23,197.15,352.75,8.43,188.02,179.17
38,199.94,196.41,353.13,7.75,187.93,178.99
39,199.04,195.74,353.43,7.21,187.34,178.91
40,198.69,198.16,353.13,5.65,188.01,177.11
41,197.26,199.17,353.22,5.06,187.58,177.58
42,195.3,199.6,353.3,4.33,187.19,177.43
