frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,198.03,206.35,348.57,27.96,194.91,182.27
1,200.95,213.04,349.81,31.88,197.53,186.35
2,199.05,213.22,348.31,31.58,199.45,190.74
3,194.98,215.29,344.8,32.22,201.89,195.07
4,196.0,216.08,345.94,32.51,198.21,188.12
5,195.2,216.41,345.11,32.19,202.0,193.58
6,192.23,216.54,342.93,32.19,211.07,207.8
7,192.85,215.97,342.22,31.78,206.12,202.66
8,193.63,214.99,342.43,30.85,204.48,200.8
9,190.5,213.07,341.37,29.18,208.83,206.36
10,190.31,211.32,342.06,28.78,263.03,220.45
11,197.96,210.79,347.61,30.07,263.07,224.57
12,194.87,211.22,347.54,31.14,359.89,345.19
13,191.44,211.75,346.43,31.97,358.35,337.55
14,195.57,212.11,349.29,32.86,340.07,315.22
15,197.36,210.74,352.37,32.52,356.82,341.64
16,198.34,211.02,350.62,32.69,355.82,327.97
17,195.64,210.02,348.07,31.66,352.75,323.9
18,196.74,209.13,349.33,31.65,351.47,317.89
19,192.84,209.69,348.3,31.58,358.7,301.52
20,192.6,209.52,348.82,32.11,357.95,296.44
21,195.14,208.84,347.24,31.86,1.52,351.13
22,196.48,208.8,346.61,31.6,2.3,352.45
23,196.66,209.42,345.72,31.84,0.51,343.18
24,193.57,212.0,341.16,31.65,355.44,344.83
25,191.97,212.55,339.4,32.05,343.54,325.75
26,189.64,215.47,336.57,29.01,7.74,33.94
27,189.33,217.55,337.56,28.83,0.57,29.82
28,192.01,217.12,338.38,28.73,1.75,33.94
29,192.9,225.64,334.08,29.71,49.7,39.94
30,195.59,225.97,335.85,28.78,62.15,63.98
31,193.86,235.93,327.02,28.64,186.63,170.25
32,192.98,238.33,325.98,28.16,207.9,196.42
33,195.14,241.95,327.5,30.13,208.29,194.82
34,203.95,254.36,326.79,30.4,225.7,205.21
35,218.92,256.87,336.04,31.77,239.06,204.94
36,218.25,260.66,324.45,26.92,224.22,191.41
37,214.52,263.61,326.34,26.13,206.58,193.22
38,220.51,262.6,330.99,25.11,195.25,190.27
39,234.76,276.75,335.95,25.36,180.42,182.63
40,235.53,272.34,333.21,22.99,182.39,182.1
41,236.33,281.04,328.81,15.5,183.62,179.74
42,234.67,286.61,327.42,17.93,182.32,177.24
43,233.46,285.3,327.03,19.1,182.19,175.06
44,244.36,287.39,326.37,18.89,172.18,172.24
45,244.91,287.64,323.61,22.36,179.34,173.79
46,260.19,307.62,324.06,24.68,170.78,168.97
47,261.55,306.06,323.96,10.84,171.11,166.36
48,263.23,310.63,322.83,11.14,172.52,165.4
49,272.94,308.64,325.05,359.35,174.36,165.04
50,280.18,305.01,324.44,354.51,173.85,164.07
51,282.86,309.86,324.04,347.13,173.93,163.94
52,284.7,312.55,324.2,348.14,174.05,164.42
53,287.34,313.38,323.43,348.22,174.23,164.12
54,289.89,317.38,320.89,346.67,174.38,164.07
55,293.4,321.72,318.29,346.81,174.56,164.25
56,295.43,322.66,315.35,347.68,173.84,165.89
57,294.67,319.63,313.9,344.39,173.0,165.28
