frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,193.52,203.06,10.85,12.46,174.88,174.99
1,192.61,200.19,8.76,11.09,180.24,174.12
2,200.98,201.1,11.87,12.96,179.78,175.43
3,197.74,200.01,9.69,13.53,181.13,175.16
4,195.42,198.05,11.26,14.69,176.44,175.8
5,191.14,197.62,11.78,15.72,178.77,175.73
6,192.03,197.42,12.08,15.69,176.47,175.79
7,193.17,198.35,17.14,18.86,179.49,176.78
8,195.8,194.84,17.23,17.89,179.9,176.5
9,195.81,190.48,18.98,18.09,180.29,176.72
10,193.27,190.97,20.7,18.97,179.72,177.82
11,196.71,191.89,22.12,19.98,179.86,179.19
12,195.56,185.51,23.81,20.43,180.87,183.72
13,196.68,184.99,22.86,20.52,181.17,182.69
14,193.27,182.07,22.52,22.07,180.23,181.45
15,194.99,184.84,22.45,22.89,179.88,181.04
16,195.55,187.87,22.53,23.53,180.18,179.86
17,195.21,187.16,22.25,23.48,180.44,178.88
18,196.52,187.91,23.24,24.18,180.57,178.62
19,195.51,189.15,22.18,24.41,180.75,177.68
20,194.49,189.88,21.37,24.68,179.78,177.28
21,194.68,190.21,21.18,24.84,179.8,177.69
22,200.02,190.53,23.99,25.38,180.17,177.54
23,200.76,191.67,24.8,25.77,180.12,177.16
24,198.21,192.27,23.38,25.54,180.41,176.83
25,197.7,193.97,22.68,26.03,180.06,176.48
26,198.72,194.34,22.81,26.15,179.69,176.57
27,199.69,195.28,20.63,26.13,178.93,174.71
28,198.67,195.73,20.09,26.42,178.08,174.0
29,198.38,199.13,19.47,26.6,177.32,173.79
30,198.08,198.47,18.16,25.97,177.39,173.41
31,198.16,198.51,17.52,25.73,177.27,173.86
32,195.9,201.46,15.21,25.08,176.57,172.86
33,194.89,203.7,14.88,26.14,177.35,172.84
34,196.6,207.15,12.04,24.44,178.75,173.9
35,195.93,209.49,10.95,24.48,178.11,174.41
36,194.16,210.85,10.27,24.36,178.12,174.7
37,208.76,214.39,13.28,22.91,177.54,175.81
38,214.7,216.84,13.08,22.05,179.02,177.49
39,225.29,221.28,9.4,20.73,179.1,176.33
40,212.99,225.55,2.82,21.31,178.78,176.78
41,216.68,225.03,4.41,20.16,179.92,176.89
42,220.77,227.93,358.76,19.11,271.24,217.56
43,222.06,229.15,357.75,18.74,261.41,202.87
44,219.62,233.85,352.56,16.73,278.32,239.99
45,216.61,234.56,350.89,16.39,278.27,239.32
46,218.92,233.98,352.68,16.59,278.93,233.61
47,233.54,239.42,352.62,12.65,193.6,192.33
48,236.91,240.54,353.06,10.86,189.63,188.14
49,238.98,243.9,348.88,4.97,183.05,182.27
50,237.61,243.53,347.51,3.29,182.4,180.72
51,266.61,263.73,349.25,357.06,180.44,181.57
52,264.86,266.26,348.11,356.79,180.15,182.64
53,253.37,271.64,340.82,351.56,185.93,192.26
54,266.36,273.15,336.63,352.45,185.5,191.26
55,242.95,280.4,309.88,353.13,197.58,206.55
56,252.36,283.83,308.02,355.25,187.64,193.28
57,61.78,278.53,284.84,346.36,185.28,180.58
58,81.19,281.81,285.93,346.91,184.02,180.26
59,94.27,285.2,290.14,343.31,183.64,174.9
60,256.51,293.07,292.12,343.07,181.2,173.74
61,254.16,295.36,299.64,345.7,180.45,173.84
62,274.41,296.01,309.24,346.55,181.39,175.19
63,313.73,302.5,329.65,343.75,182.69,176.59
64,316.2,304.42,330.53,341.8,183.61,177.59
65,318.94,306.1,332.53,340.17,182.89,177.93
66,324.97,308.05,333.91,340.02,184.46,177.35
67,330.34,313.52,334.04,343.35,184.17,174.93
68,333.3,317.38,334.24,344.62,184.15,173.27
69,335.93,319.31,333.77,345.32,183.46,171.58
70,341.91,323.58,335.41,347.06,183.53,171.45
71,341.1,323.3,335.45,346.83,183.22,171.58
72,341.83,324.38,336.07,347.16,183.38,171.11
73,341.69,326.85,335.66,347.01,183.65,170.92
74,341.45,333.49,335.75,350.29,183.34,169.66
75,348.37,334.13,339.31,350.38,183.4,169.07
76,350.12,335.64,340.78,350.14,183.34,169.8
77,356.68,336.23,344.64,349.85,184.33,170.38
78,357.54,336.47,346.98,350.08,184.27,170.36
79,355.04,332.06,346.24,350.71,182.4,167.86
80,10.12,332.57,348.93,354.42,182.12,166.28
81,10.74,332.17,347.3,353.24,182.4,165.68
82,4.34,330.15,346.23,352.06,182.92,167.45
83,355.02,322.74,339.02,354.55,182.07,166.2
84,2.24,325.06,329.82,354.12,180.84,165.82
85,342.47,324.65,339.01,357.62,182.72,168.48
86,306.44,321.88,328.47,354.95,182.13,169.81
87,321.41,319.73,336.1,358.27,182.77,170.31
88,321.05,320.8,334.26,356.98,182.99,170.65
89,309.96,316.75,329.16,1.2,182.22,169.19
90,306.5,316.8,327.67,1.24,182.12,169.33
91,290.12,308.75,325.58,3.15,179.82,169.83
92,283.77,307.43,321.71,5.97,181.19,170.34
93,269.29,301.75,318.4,9.68,181.37,174.53
94,265.79,297.54,315.96,8.24,182.88,182.58
95,255.21,284.83,328.15,7.91,183.57,187.69
96,263.83,281.45,336.81,5.31,184.92,185.5
97,253.19,273.0,342.22,4.35,183.74,184.09
98,254.46,272.38,342.82,7.86,181.5,180.6
99,249.01,254.62,347.78,4.85,181.42,180.61
100,245.83,252.03,348.1,5.89,182.43,183.27
101,232.62,243.63,347.77,13.59,282.1,221.63
102,223.48,235.48,345.36,15.83,275.9,264.62
103,220.9,235.39,343.92,16.32,276.43,264.35
104,219.07,233.85,343.32,16.62,279.58,267.55
105,215.26,229.5,345.28,17.75,275.49,260.5
106,217.75,223.3,351.77,17.73,265.91,210.67
107,217.42,221.96,353.14,17.69,259.53,205.85
108,212.7,215.55,355.36,16.95,194.52,188.94
109,211.35,211.68,356.0,16.28,195.63,192.21
110,207.87,207.73,355.97,15.44,183.9,180.1
111,204.69,204.55,354.67,13.97,184.52,180.09
112,200.36,203.22,355.29,14.43,184.26,179.45
113,194.75,201.98,359.28,16.77,183.02,180.24
114,191.72,202.33,1.14,16.99,183.11,182.1
115,185.49,198.26,4.48,18.1,182.5,179.44
116,189.08,196.98,8.49,18.31,182.13,180.15
117,189.8,192.48,6.27,18.59,182.47,180.23
118,184.11,191.59,2.25,18.2,180.69,178.37
119,177.03,192.27,358.56,17.87,181.16,176.77
120,180.3,187.19,0.31,18.69,181.03,177.25
121,179.26,184.9,1.78,20.88,181.42,177.43
122,180.94,185.01,2.26,21.85,181.12,176.66
123,180.16,185.23,2.89,22.78,181.27,177.06
124,175.61,186.51,3.56,23.42,180.14,177.24
125,175.81,186.53,3.14,24.95,180.97,176.61
126,181.39,188.79,7.54,26.77,179.59,176.3
127,186.51,191.4,9.24,28.26,179.61,175.64
128,188.57,192.34,10.1,28.59,179.06,175.75
129,191.03,192.2,8.02,28.98,179.97,175.24
130,191.42,192.42,5.77,29.06,179.85,175.18
131,190.93,193.56,5.85,30.04,179.67,174.2
132,190.12,194.41,5.99,30.75,179.1,173.49
133,182.74,195.79,6.79,31.26,179.25,172.77
