frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,359.35,342.61,25.8,18.84,246.63,235.34
1,21.59,336.53,27.91,19.16,248.67,15.51
2,46.77,333.37,40.17,24.75,245.08,7.51
3,71.82,122.48,49.98,29.6,275.67,355.47
4,50.9,127.87,49.17,29.74,274.42,349.98
5,41.46,16.35,35.59,38.39,307.89,359.13
6,38.88,8.35,36.88,17.91,306.58,5.61
7,321.84,19.18,38.71,0.27,71.97,244.76
8,1.59,2.95,12.46,355.29,193.79,204.84
9,201.26,349.79,333.95,9.01,247.67,60.42
10,204.23,348.01,333.3,13.05,251.93,20.33
11,201.79,342.0,331.92,16.26,270.8,14.47
12,201.26,335.76,325.99,6.78,305.49,352.03
13,214.27,331.16,327.86,10.21,308.9,336.73
14,224.82,333.69,331.26,15.64,312.04,335.73
15,234.66,337.17,330.41,22.44,300.02,317.35
16,235.57,348.11,334.68,30.88,297.58,324.69
17,235.57,6.58,341.48,44.87,293.84,326.21
18,235.18,356.15,339.74,42.44,296.35,326.44
19,224.54,2.05,337.69,51.82,291.4,336.25
20,217.79,355.03,337.37,46.92,287.72,334.41
21,209.84,350.35,339.14,39.13,289.63,10.12
22,216.76,346.7,337.21,34.68,288.83,309.75
23,219.01,340.79,335.85,30.14,289.61,309.24
24,216.6,338.02,335.51,28.06,292.46,353.75
25,217.42,335.03,336.43,24.44,293.13,352.89
26,216.91,334.13,341.02,21.84,294.37,353.66
27,234.34,333.82,345.85,18.63,297.93,316.56
28,234.86,333.74,344.81,16.84,300.98,324.75
29,236.98,344.09,342.19,25.02,297.89,318.65
30,237.41,7.86,308.13,52.13,311.42,303.01
31,236.29,45.53,303.01,88.94,336.78,317.13
32,249.67,338.91,325.38,21.26,331.64,354.32
33,239.97,328.3,325.59,4.89,324.79,351.7
34,243.33,334.67,334.85,5.9,320.14,349.6
35,228.12,341.32,331.76,9.17,307.16,338.32
36,230.59,345.37,333.0,8.53,309.76,345.74
37,196.73,343.49,332.15,5.47,263.11,295.93
38,170.44,348.07,329.8,6.18,246.27,90.93
39,133.25,350.91,328.24,6.22,251.42,278.36
40,161.3,344.61,336.6,359.69,247.35,100.23
41,171.2,345.57,343.17,2.82,228.82,102.01
42,152.4,353.5,344.13,8.45,237.11,71.47
43,156.65,351.38,344.99,9.96,231.29,75.6
44,82.41,94.07,345.96,25.23,211.86,77.68
45,83.13,8.78,341.84,21.19,198.69,90.99
46,138.55,334.89,348.31,15.08,204.42,113.14
47,89.22,218.43,352.27,16.93,200.62,104.05
48,107.43,351.25,359.38,9.76,337.45,67.33
49,131.89,167.28,356.89,23.09,225.0,117.12
50,225.22,338.15,304.76,341.66,40.72,45.74
51,220.57,342.04,288.99,50.74,39.91,35.18
52,230.71,2.96,291.38,58.73,28.99,27.76
53,333.77,276.88,342.69,339.23,212.1,222.97
