frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,188.07,197.38,346.79,13.87,200.9,178.77
1,187.52,197.07,347.2,14.31,195.08,178.95
2,186.47,197.49,347.43,14.64,191.92,179.39
3,185.27,197.58,347.47,14.58,192.85,179.23
4,184.97,198.49,347.51,15.01,193.13,174.97
5,184.63,199.16,347.53,15.3,192.09,175.32
6,184.7,198.77,347.75,15.09,190.09,176.18
7,184.78,199.41,347.9,15.57,189.62,176.96
8,185.25,200.09,348.09,15.57,189.72,177.55
9,185.39,200.46,347.73,15.56,189.59,177.87
10,186.73,200.44,347.69,15.4,189.86,179.47
11,187.24,202.71,347.49,15.66,189.3,181.52
12,188.79,204.37,347.66,16.18,189.97,181.92
13,190.06,206.44,348.02,16.42,192.47,180.85
14,192.04,208.1,348.19,16.67,191.96,180.07
15,195.18,209.48,348.18,16.84,191.55,181.35
16,196.85,211.6,347.98,17.01,191.07,182.07
17,197.57,212.96,347.37,17.14,190.82,182.6
18,198.64,215.64,346.97,17.38,189.74,181.75
19,201.66,217.19,346.49,16.99,188.28,180.43
20,203.15,218.33,345.69,16.59,188.13,179.41
21,206.1,221.05,345.6,17.02,187.95,178.77
22,209.39,223.72,345.25,17.59,188.22,178.33
23,212.81,227.02,345.06,18.48,188.03,178.33
24,215.53,230.73,344.58,19.45,187.91,178.3
25,217.99,234.18,344.08,19.83,187.91,178.3
26,220.55,238.23,343.57,20.17,187.95,178.3
27,224.01,243.08,342.49,19.9,191.92,177.31
28,229.41,246.71,341.89,20.12,192.61,177.03
29,230.29,251.8,341.39,20.06,193.67,177.14
30,238.36,256.32,341.29,20.56,193.73,177.26
31,240.79,262.12,341.67,21.21,193.71,175.92
32,246.44,268.27,341.26,21.62,194.02,175.85
33,244.82,274.91,340.46,21.63,194.11,176.12
34,251.04,278.46,341.29,21.82,193.57,174.41
35,250.79,284.02,340.69,21.91,194.35,174.13
36,255.2,292.18,340.74,22.75,194.27,174.62
37,258.55,298.61,340.62,23.85,192.98,175.67
38,259.71,302.6,339.71,24.67,192.39,175.88
39,265.47,306.79,339.62,24.7,191.75,175.72
40,266.35,310.14,339.76,24.81,190.19,175.73
41,273.53,314.03,340.73,24.54,189.78,176.05
42,282.45,317.87,341.63,24.66,189.34,176.07
43,290.48,322.33,341.89,24.66,189.01,176.07
44,296.35,325.76,342.39,24.98,189.53,175.47
45,305.18,327.49,343.11,25.43,190.27,175.02
46,308.14,330.16,343.16,25.76,190.25,174.11
47,314.44,333.94,344.52,25.93,190.44,173.69
48,317.29,336.26,344.25,25.93,190.2,173.98
49,317.07,338.75,344.52,26.53,190.2,174.5
50,316.51,340.32,344.06,27.12,190.94,174.71
51,311.28,342.02,342.82,27.58,190.71,174.97
52,304.53,343.29,340.48,27.88,190.76,175.74
53,299.16,342.71,337.73,29.58,190.07,176.8
54,302.41,343.2,338.12,29.95,189.95,176.39
55,304.12,342.86,338.72,29.4,190.2,175.99
56,304.77,342.96,338.26,29.22,190.08,176.24
57,305.52,343.79,337.75,29.22,190.56,176.22
58,296.35,344.09,334.03,29.42,190.91,175.78
59,297.65,344.53,334.95,29.58,191.31,175.8
60,310.23,343.55,339.75,29.05,191.41,175.6
61,316.48,343.12,341.62,28.53,191.34,175.66
62,316.68,340.82,341.94,28.19,191.07,175.63
63,311.53,338.6,340.56,27.36,189.85,174.79
64,308.68,336.59,340.46,27.04,187.79,174.23
