frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,168.72,166.19,357.99,1.0,177.87,184.9
1,170.33,169.85,358.31,3.25,178.79,184.19
2,171.53,169.66,358.87,3.28,178.88,183.47
3,170.79,169.91,358.53,3.17,179.2,183.24
4,171.48,169.91,358.87,3.17,179.53,183.21
5,171.88,170.11,359.09,3.0,179.3,182.93
6,171.47,170.11,358.86,3.0,179.84,183.21
7,172.12,169.85,359.21,2.98,180.14,183.22
8,172.46,169.36,359.55,2.98,180.15,183.21
9,172.46,169.36,359.55,3.2,180.15,182.65
10,172.51,169.36,359.55,3.42,180.15,182.42
11,172.8,169.0,359.89,3.06,180.15,182.42
12,172.39,168.64,359.89,2.7,180.15,182.42
13,172.1,168.65,359.55,2.71,180.15,182.42
14,172.1,169.14,359.55,2.71,180.14,182.42
15,172.1,169.14,359.55,2.71,180.14,182.42
16,171.29,169.4,359.21,2.71,180.14,182.42
17,171.35,169.28,359.21,2.71,180.14,182.42
18,171.76,169.42,359.43,2.73,179.62,182.42
19,170.6,169.4,358.75,2.71,179.62,182.42
20,171.01,169.77,358.74,2.86,179.62,182.65
21,171.48,169.77,358.74,2.86,179.62,182.65
22,171.48,169.27,358.74,2.86,179.62,182.67
23,171.48,169.39,358.74,2.64,179.62,182.89
24,171.64,171.57,358.74,3.71,179.61,182.9
25,173.53,172.79,0.0,4.43,179.08,182.94
26,176.08,174.29,1.97,5.23,178.54,183.27
27,177.76,175.24,4.41,5.59,178.23,183.58
28,175.48,175.44,5.54,5.74,178.76,183.35
29,174.12,174.09,6.87,5.49,178.23,182.57
30,174.28,172.26,8.95,4.2,178.23,182.81
31,173.53,170.84,11.8,4.32,178.54,182.76
32,170.6,167.64,13.32,4.6,179.39,182.87
33,168.98,163.2,14.86,5.01,180.98,183.54
34,165.13,161.1,15.98,5.2,181.51,184.75
35,161.8,157.16,16.71,5.54,183.54,185.97
36,154.38,150.94,16.89,6.24,184.0,186.74
37,149.92,148.52,18.02,6.79,184.44,188.06
38,144.02,148.64,18.77,6.93,184.37,188.58
39,138.14,151.8,19.42,7.09,184.29,188.8
40,131.98,156.71,20.61,7.5,185.19,188.47
41,127.25,151.87,22.18,5.97,185.32,189.01
42,123.34,149.82,23.54,4.47,185.73,189.53
43,116.34,151.0,24.61,8.65,185.94,190.06
44,110.87,145.42,26.94,10.49,185.91,190.35
45,105.27,105.41,29.15,15.38,185.69,190.66
46,95.51,100.05,32.24,17.6,185.69,190.45
47,89.83,76.5,34.66,24.1,185.25,189.28
48,82.65,69.78,38.27,29.27,183.85,188.11
49,72.08,60.41,41.62,33.0,183.42,187.17
50,66.98,57.17,42.81,34.66,182.15,185.59
51,65.3,55.03,44.57,38.84,181.41,183.87
52,62.42,52.92,46.12,37.83,180.96,183.89
53,60.45,49.68,45.58,37.04,180.44,183.46
54,58.35,46.81,45.6,37.69,180.44,183.77
55,56.11,45.2,45.58,38.27,180.44,183.79
56,56.11,45.07,45.58,37.4,180.44,184.31
57,58.5,45.72,44.8,36.84,180.67,184.51
58,60.35,47.09,44.25,35.43,180.67,184.49
59,66.43,52.93,43.43,34.63,180.67,184.71
60,74.34,60.28,41.05,31.29,181.12,185.69
61,83.09,70.76,39.05,30.83,182.25,185.82
62,93.02,80.21,36.53,26.14,183.35,187.23
63,101.35,114.88,35.05,20.71,184.03,189.49
64,109.26,108.45,32.14,22.65,184.25,189.51
65,117.07,120.83,30.26,16.65,184.97,189.77
66,122.7,161.33,27.94,14.54,185.1,189.99
67,127.41,158.04,26.87,13.54,185.0,189.91
68,131.28,137.7,24.93,13.06,183.94,189.59
69,133.67,148.97,22.71,10.21,183.74,189.23
70,139.83,151.96,21.17,8.58,183.0,188.39
71,142.12,153.48,19.04,7.92,182.47,188.17
72,145.13,151.86,17.42,7.71,182.24,187.41
73,151.79,152.36,16.06,6.21,182.78,186.36
74,156.94,156.03,13.85,5.23,182.62,186.15
75,160.54,157.35,13.05,4.78,181.53,185.59
76,163.49,161.29,11.66,4.63,181.93,185.33
77,167.33,162.87,10.22,4.91,181.58,183.33
78,168.29,168.6,7.41,4.6,180.5,182.78
79,172.17,169.68,6.46,3.76,180.47,182.12
80,170.58,168.83,3.52,3.01,180.48,182.35
81,168.25,169.03,359.79,2.42,180.25,183.26
82,168.47,167.7,357.45,1.55,179.93,183.39
83,170.65,168.41,356.68,1.7,180.02,183.96
84,168.26,168.18,354.47,0.97,180.89,184.64
85,169.49,165.99,354.67,0.24,180.67,184.91
86,169.06,165.73,353.37,0.47,180.65,184.37
87,169.09,164.21,353.0,359.94,180.66,184.47
88,168.13,162.55,352.43,359.78,179.91,184.26
89,168.86,161.4,352.65,359.78,180.01,183.92
90,168.36,161.44,352.77,0.37,180.54,183.37
91,166.81,160.58,352.47,0.37,180.54,183.39
92,167.15,160.39,352.56,0.38,181.06,183.64
93,166.67,159.89,352.48,0.38,181.06,182.98
94,166.22,160.4,352.47,0.38,181.07,183.03
95,165.42,160.78,352.69,0.54,180.55,183.57
96,165.66,162.2,353.53,1.3,180.04,183.53
97,165.6,164.21,354.09,2.07,179.5,183.51
98,164.94,165.71,355.43,2.87,177.32,183.19
99,163.28,165.69,356.13,2.85,175.69,182.54
100,161.37,166.07,356.27,3.23,175.85,182.56
101,160.23,165.69,356.3,3.21,175.85,182.56
102,160.18,165.83,356.86,3.19,175.3,182.54
103,160.13,166.15,356.97,3.19,175.24,182.54
104,160.13,166.31,356.98,3.19,175.26,182.87
105,160.63,166.29,357.32,3.16,175.28,182.86
106,161.11,166.29,357.52,3.16,175.05,182.86
107,161.11,164.53,357.52,2.41,175.36,183.17
108,161.36,164.53,357.56,2.41,175.32,183.17
109,161.75,164.53,357.56,2.64,175.32,182.62
