frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,162.3,161.27,343.98,344.69,181.1,185.55
1,162.9,160.35,341.97,338.86,183.74,185.84
2,162.6,161.42,339.78,337.29,184.6,185.84
3,164.1,161.72,338.99,337.45,184.09,184.56
4,162.07,159.37,337.36,336.06,183.2,184.56
5,158.81,158.54,335.22,335.23,183.37,184.56
6,158.32,159.12,334.34,336.18,184.26,184.23
7,155.97,159.19,333.45,335.88,184.79,185.11
8,152.95,157.86,333.12,335.85,185.64,186.02
9,150.49,149.48,333.35,335.22,186.54,186.94
10,147.86,148.66,336.04,337.95,183.57,187.04
11,144.2,146.0,340.55,341.97,182.55,186.68
12,144.26,146.13,346.31,346.41,180.27,185.8
13,139.66,141.99,349.52,348.17,179.37,184.43
14,133.47,138.6,351.44,348.73,180.64,183.89
15,130.18,130.75,355.64,350.26,180.65,132.57
16,115.01,119.97,1.5,353.52,180.23,173.53
17,109.3,121.46,4.17,354.17,180.27,174.41
18,102.91,111.86,4.81,357.15,180.63,180.74
19,100.91,96.97,8.67,1.3,180.5,184.56
20,98.84,97.27,15.44,17.37,180.01,187.03
21,104.55,98.94,28.58,22.88,180.75,187.4
22,109.72,96.33,36.12,26.85,181.5,188.77
23,111.04,97.72,39.4,30.96,183.09,190.07
24,112.3,100.67,45.16,38.02,183.83,189.98
25,107.25,99.09,47.41,39.76,184.2,190.73
26,104.53,96.51,51.59,38.52,184.94,192.07
27,99.77,94.4,52.09,36.7,183.93,192.46
28,97.23,89.64,52.31,40.95,185.17,192.85
29,95.73,88.58,53.99,46.25,185.59,193.1
30,90.86,84.83,53.65,47.11,186.04,193.46
31,84.7,73.91,53.75,43.75,185.98,193.46
32,79.38,71.09,54.94,46.53,185.98,193.46
33,76.76,69.61,54.94,47.45,185.98,194.43
34,74.39,67.62,54.95,46.76,186.83,194.86
35,71.67,64.22,55.68,46.48,186.47,195.43
36,64.93,59.2,55.32,48.58,187.83,195.96
37,63.03,57.39,55.68,49.87,188.35,195.96
38,65.29,57.93,57.94,50.02,188.35,196.85
39,66.83,58.88,59.13,51.74,189.22,196.78
40,66.49,57.13,59.98,49.86,189.37,197.07
41,69.47,62.56,63.48,55.27,189.69,196.6
42,72.48,65.97,66.04,57.94,188.86,196.6
43,74.39,68.96,68.37,61.02,187.91,197.2
44,78.34,74.06,69.54,64.93,188.8,196.28
45,83.18,77.64,71.94,67.63,188.75,197.38
46,92.54,88.29,73.48,72.54,187.87,196.46
47,96.81,95.28,72.67,73.7,188.75,196.02
48,101.27,108.69,72.28,77.68,188.8,196.18
49,103.14,107.52,71.48,75.29,188.86,195.2
50,104.7,109.44,67.16,74.04,188.8,194.81
51,105.63,86.09,55.85,42.83,188.22,194.32
52,110.28,85.69,50.85,35.37,186.14,192.53
53,108.07,89.85,39.74,34.82,185.96,190.63
54,105.24,98.05,28.48,36.54,185.5,188.73
55,117.65,89.1,36.44,30.44,185.21,190.7
56,113.05,102.12,16.41,14.75,184.84,190.87
57,123.24,123.75,17.03,5.1,184.13,189.89
58,131.15,120.58,9.9,356.24,182.93,184.78
59,133.64,126.84,4.03,349.14,182.69,184.0
60,138.28,128.85,0.8,348.63,180.41,181.81
61,143.38,145.4,352.07,346.88,178.88,181.79
62,150.77,154.94,349.38,346.61,179.94,182.37
63,156.32,158.68,349.8,347.71,179.16,180.9
64,160.09,160.76,348.94,348.39,178.42,180.46
65,163.39,165.24,348.04,348.11,178.6,180.45
66,166.96,170.95,345.51,346.72,181.01,181.71
67,169.91,172.46,344.91,345.96,181.51,181.7
68,172.61,175.12,344.48,345.7,182.03,181.33
69,173.59,174.77,343.89,345.6,182.03,181.57
70,175.2,174.95,343.89,345.35,182.03,181.19
71,175.67,170.83,344.05,345.35,181.53,179.41
72,174.22,172.03,343.64,345.27,181.56,180.81
73,173.77,171.44,344.16,345.02,180.69,182.16
74,173.02,172.64,344.16,345.86,180.69,183.65
75,173.03,178.54,345.5,348.8,179.3,184.17
76,173.51,179.53,346.43,351.31,178.42,184.27
77,169.93,176.61,346.58,351.78,178.42,184.62
78,168.17,171.94,347.02,351.16,178.42,184.62
