frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,197.48,182.56,2.18,357.27,182.59,188.42
1,199.08,175.18,7.26,355.29,181.2,185.43
2,200.38,183.16,2.59,358.23,185.26,185.82
3,194.86,190.61,2.03,2.2,185.38,189.84
4,193.13,190.51,0.48,1.45,181.95,188.46
5,194.94,192.45,1.6,0.43,184.83,186.86
6,194.76,193.78,359.54,357.28,184.02,194.78
7,199.9,197.24,0.52,356.87,187.95,189.81
8,209.1,203.04,359.63,354.59,190.43,191.11
9,210.22,206.08,0.05,352.81,191.58,190.85
10,213.41,214.77,359.97,353.16,190.67,193.01
11,218.04,223.62,357.06,351.48,191.95,194.22
12,221.12,232.54,356.67,349.01,193.42,195.17
13,220.0,238.4,357.31,346.75,194.47,196.09
14,216.31,247.7,357.33,345.81,195.75,195.85
15,210.06,255.59,357.18,343.96,194.6,195.82
16,208.75,266.58,358.69,343.13,194.84,193.89
17,207.52,273.12,359.02,340.76,196.33,194.72
18,205.96,280.73,359.36,338.68,197.47,195.39
19,201.73,288.11,357.86,337.79,198.16,198.15
20,194.77,294.31,354.42,337.46,200.14,200.71
21,193.98,297.17,353.92,335.66,201.42,201.98
22,193.52,299.9,352.83,336.17,201.68,199.32
23,315.42,302.47,349.78,335.84,202.47,199.06
24,329.75,304.96,350.76,336.45,201.41,198.96
25,321.57,305.65,350.11,336.95,200.48,199.12
26,325.06,306.56,351.63,337.06,201.71,199.01
27,312.23,304.86,344.71,337.41,201.82,199.17
28,305.75,302.47,345.97,337.54,201.3,199.18
29,310.87,300.88,347.37,341.51,198.87,198.29
30,263.62,296.24,352.76,344.35,197.08,196.28
31,260.44,290.37,355.87,346.95,193.18,197.92
32,258.8,283.13,357.18,349.0,189.81,193.09
33,232.58,269.87,359.86,347.95,187.02,190.15
34,221.22,262.18,2.02,350.48,185.56,190.77
35,233.87,250.38,0.94,349.44,184.1,187.47
36,240.56,243.42,359.47,350.34,184.43,189.89
37,231.6,236.65,0.68,351.04,185.12,189.93
38,225.99,225.47,1.2,353.31,183.21,187.56
39,218.26,218.33,1.71,354.7,183.47,186.3
40,210.61,211.19,1.16,355.87,183.69,184.64
41,204.84,203.63,1.53,357.08,183.19,182.68
42,196.95,197.03,0.64,358.65,183.85,181.46
43,190.14,187.09,0.1,358.05,184.86,181.89
44,187.08,181.25,0.71,359.36,183.27,179.68
45,184.86,179.02,1.32,0.01,181.62,178.82
46,176.51,178.33,1.62,1.84,181.56,176.81
47,178.43,178.98,2.09,3.56,178.02,177.33
48,177.56,179.75,2.82,6.23,176.11,176.4
49,178.7,183.57,4.56,9.38,172.43,174.52
50,177.77,183.75,4.93,11.27,172.3,173.79
51,178.05,185.19,4.54,11.98,173.56,174.64
52,179.02,184.71,5.13,13.44,173.78,174.62
53,178.36,185.6,6.8,14.93,170.55,173.7
54,177.58,185.83,7.3,15.43,170.82,173.04
55,178.35,185.76,8.64,15.78,170.72,172.79
56,184.11,186.99,9.89,16.11,170.9,172.12
