frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,109.08,118.56,341.49,4.88,183.83,161.61
1,79.11,115.8,341.75,5.71,184.34,168.47
2,85.66,110.06,341.83,4.99,186.58,170.25
3,93.44,99.96,343.33,4.16,186.39,170.24
4,84.1,94.64,340.67,5.4,186.64,171.75
5,80.3,91.06,343.22,6.15,188.17,173.84
6,80.56,86.45,343.32,6.55,188.51,175.04
7,75.72,80.24,345.92,7.54,190.03,175.01
8,64.63,79.88,345.35,8.98,190.5,176.3
9,58.65,76.86,344.1,9.79,190.52,176.52
10,50.67,81.44,343.33,12.1,190.03,176.65
11,45.58,79.93,341.43,12.8,190.94,176.74
12,40.29,78.51,343.3,17.47,189.98,177.11
13,38.95,72.62,343.51,14.22,189.56,177.16
14,36.02,70.57,344.3,12.63,189.87,178.07
15,34.16,63.16,344.88,12.98,189.36,177.03
16,33.85,58.75,344.6,13.66,189.07,177.44
17,33.85,55.44,344.84,13.58,188.88,177.68
18,33.6,57.53,345.22,14.51,188.82,177.19
19,32.57,59.07,344.38,15.95,188.74,176.54
20,32.33,55.46,343.57,14.33,187.74,175.97
21,33.22,57.66,342.79,15.09,188.06,175.83
22,34.74,59.59,340.98,14.08,188.25,175.66
23,36.32,64.89,341.22,13.21,186.93,175.53
24,38.16,68.86,340.4,10.92,186.83,175.06
25,41.48,73.97,340.44,10.57,186.01,174.85
26,48.99,68.79,339.62,6.77,186.16,175.4
27,53.94,87.98,338.64,10.76,186.93,174.86
28,57.69,99.38,337.44,10.32,186.11,175.0
29,60.41,104.08,337.29,10.07,186.24,174.16
30,72.79,110.25,337.47,9.69,186.63,174.59
31,78.97,111.45,337.25,8.53,187.24,174.6
32,79.72,116.94,337.11,7.3,187.66,174.24
33,97.23,112.34,337.81,4.06,187.8,174.46
34,98.72,126.41,337.94,1.85,188.54,174.66
35,102.24,134.38,339.89,0.99,188.72,175.06
36,106.09,145.15,342.1,2.57,189.33,174.72
37,123.41,142.5,342.14,3.22,191.41,174.82
38,133.8,147.84,343.06,4.49,191.22,175.72
39,137.73,153.98,343.14,5.74,190.62,176.19
40,140.27,157.78,343.81,5.8,189.98,176.7
