frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,167.65,169.87,359.48,3.02,178.78,184.01
1,166.35,170.49,358.9,3.52,178.96,183.93
2,164.62,169.42,358.55,2.88,179.3,184.56
3,161.64,168.83,358.32,2.68,179.85,184.78
4,160.23,168.53,358.67,2.49,179.56,184.99
5,158.75,167.69,359.5,2.36,179.78,184.4
6,157.67,166.85,0.32,2.01,180.32,184.38
7,154.06,164.77,0.0,1.68,180.31,184.71
8,149.44,158.54,0.01,0.48,180.61,184.18
9,144.31,153.01,359.67,0.13,181.23,184.19
10,139.22,149.51,358.75,0.15,181.74,184.18
11,132.51,140.23,358.21,359.39,182.25,184.18
12,124.12,136.18,357.98,359.54,182.78,184.71
13,116.76,131.58,358.58,359.54,182.25,184.7
14,107.24,122.53,358.92,359.51,182.27,184.69
15,100.63,122.85,358.68,359.44,182.5,185.76
16,92.07,109.23,358.99,359.12,182.94,186.38
17,85.33,93.53,359.5,359.95,183.46,186.67
18,78.79,73.55,1.61,1.9,183.22,186.44
19,72.08,70.25,3.23,2.52,182.92,186.84
20,68.34,66.16,3.65,2.87,182.93,187.16
21,61.43,61.48,5.33,3.09,182.15,186.48
22,56.46,48.73,6.89,3.49,181.42,186.02
23,50.81,42.31,7.11,3.43,181.19,186.01
24,44.96,35.87,7.11,3.81,181.2,186.03
25,42.15,32.83,7.31,3.43,181.72,186.05
26,40.21,31.38,7.24,3.15,182.01,186.57
27,38.3,30.31,7.24,3.15,182.01,186.26
28,37.96,29.57,7.39,3.15,182.24,185.93
29,38.47,29.18,7.23,3.38,182.22,186.15
30,39.05,28.49,7.61,2.78,181.93,186.35
31,43.28,31.69,6.26,2.45,182.15,186.35
32,49.49,35.01,4.78,2.52,182.8,186.67
33,56.74,40.99,3.64,2.84,183.23,187.13
34,66.45,57.45,3.3,2.86,182.89,187.48
35,76.15,79.15,1.53,2.24,183.08,187.73
36,81.47,105.07,0.66,1.19,182.48,187.98
37,87.95,107.84,359.86,1.14,181.86,188.01
38,95.97,127.9,359.65,359.1,180.73,187.74
39,104.58,127.07,359.67,358.32,180.34,187.1
40,109.65,126.41,0.19,358.51,179.84,185.95
41,116.42,127.99,0.53,359.36,179.82,184.55
42,122.38,131.43,0.37,359.96,179.9,183.68
43,125.16,134.07,359.43,0.13,181.04,183.9
44,131.18,138.16,0.59,0.56,180.88,183.9
45,136.81,142.11,1.49,0.41,180.64,183.67
46,139.91,146.46,1.84,0.61,180.92,183.89
47,146.88,151.73,2.87,0.62,181.51,183.57
48,151.54,157.04,2.53,1.83,181.51,183.45
49,157.35,164.16,2.7,3.05,181.3,182.68
50,159.34,167.98,2.43,3.33,180.85,183.01
51,161.11,168.55,2.14,2.84,181.06,183.35
52,163.27,168.51,1.12,1.86,181.08,183.23
53,164.95,169.09,0.96,2.0,180.89,183.13
54,166.24,170.52,359.58,2.72,180.88,183.49
55,167.54,170.75,359.46,2.71,180.68,183.51
56,168.93,171.12,359.0,2.93,180.77,183.28
57,168.6,171.98,358.89,2.9,180.86,183.28
58,167.94,171.86,358.56,2.68,181.16,184.53
59,167.7,172.89,358.23,2.69,181.16,184.52
60,167.14,172.52,357.9,2.54,181.15,184.29
61,167.69,172.27,357.56,2.4,181.15,184.06
62,166.27,171.05,356.54,1.91,181.15,184.18
63,166.59,171.43,356.54,1.88,181.15,184.17
64,165.93,169.3,356.2,0.79,181.16,184.17
65,165.84,167.91,356.2,0.42,181.16,184.17
66,165.84,168.04,356.42,0.42,180.64,184.17
67,165.1,167.91,356.31,0.42,179.78,184.17
68,164.7,167.91,356.3,0.41,179.79,184.16
69,164.62,168.91,356.32,1.01,179.45,183.61
70,164.62,168.26,356.53,0.99,178.91,183.61
71,164.21,168.25,356.53,0.76,178.92,184.16
72,163.64,167.74,356.65,0.54,179.45,184.38
73,162.96,168.23,356.99,0.53,179.45,184.38
74,162.89,168.36,357.11,0.3,179.99,184.61
75,162.82,167.48,357.21,359.94,180.53,184.61
76,162.82,167.84,357.21,0.06,180.53,184.84
77,162.93,166.98,356.98,359.71,181.07,184.84
78,162.93,167.26,356.99,359.72,181.06,184.84
79,162.93,168.11,356.99,0.08,181.06,184.51
80,162.93,168.97,356.99,0.44,181.06,184.51
81,162.93,169.46,356.98,0.65,180.75,184.3
82,162.93,169.82,356.98,1.01,181.06,184.64
83,163.78,170.32,357.31,1.01,181.07,184.97
84,163.44,170.44,357.2,1.02,180.85,184.96
85,163.44,170.93,357.2,1.02,180.85,185.3
86,163.44,170.08,357.2,0.88,180.85,184.74
87,163.95,170.21,357.41,0.9,180.33,184.74
88,163.61,170.95,357.08,1.26,180.33,184.72
89,164.2,170.84,357.08,1.48,180.33,184.15
90,164.59,170.48,357.07,1.12,180.33,184.15
