frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,168.95,168.88,0.14,4.78,174.92,181.03
1,166.51,167.94,359.0,2.93,177.73,182.45
2,164.07,168.46,358.56,2.35,179.06,184.08
3,162.04,168.27,358.56,2.36,179.37,184.07
4,160.85,168.44,358.91,2.39,179.36,184.04
5,158.9,166.98,359.61,1.8,179.37,184.56
6,158.47,165.15,0.44,0.83,180.17,184.8
7,154.78,162.21,0.46,359.76,180.15,184.78
8,149.88,156.2,0.24,358.57,180.98,185.25
9,144.27,150.48,359.71,358.23,181.78,185.24
10,140.45,148.06,359.5,358.78,182.32,185.46
11,133.89,139.8,359.16,359.17,182.31,185.8
12,125.46,134.83,358.95,359.01,182.82,185.57
13,114.15,128.31,359.17,359.23,182.0,185.33
14,108.77,127.52,0.37,358.99,182.22,185.87
15,101.57,125.87,0.63,359.54,182.37,187.03
16,92.38,118.49,0.97,0.3,182.09,187.01
17,85.6,100.65,1.37,1.01,182.1,186.78
18,79.84,72.5,2.87,2.64,182.12,186.76
19,72.91,66.24,4.72,2.66,181.61,187.39
20,69.23,64.47,5.76,3.0,182.15,187.67
21,63.73,60.37,7.04,2.78,181.92,187.77
22,56.87,47.79,7.49,3.02,181.48,187.07
23,50.47,39.95,7.27,2.46,180.98,186.54
24,44.76,34.7,7.17,2.94,181.06,186.76
25,41.98,32.12,7.26,2.53,181.57,186.76
26,40.61,30.48,7.4,2.53,181.8,186.76
27,40.0,30.06,7.6,2.68,182.32,187.01
28,38.95,29.27,7.22,2.68,182.34,187.01
29,39.51,29.51,7.29,2.46,182.34,187.21
30,39.95,29.46,7.14,2.11,182.55,187.21
31,42.82,31.06,6.61,2.15,182.77,187.52
32,48.26,39.0,4.86,0.97,182.71,187.22
33,55.19,45.91,3.9,1.21,182.92,187.43
34,64.9,56.69,2.74,1.17,182.88,187.94
35,74.53,66.27,1.34,0.95,183.1,188.17
36,81.85,89.6,0.11,359.75,183.25,188.49
37,89.3,116.26,0.24,359.91,182.81,187.99
38,96.07,128.36,359.27,358.49,181.99,188.22
39,103.71,124.29,358.84,358.3,181.99,187.04
40,110.19,126.77,359.75,358.91,181.47,185.91
41,116.48,127.13,359.97,358.98,181.25,184.5
42,122.63,131.25,359.63,359.74,181.52,184.5
43,125.38,132.94,359.34,359.97,181.39,183.96
44,132.21,138.05,0.25,0.35,181.17,183.98
45,137.46,143.4,0.58,0.91,181.47,184.52
46,140.82,148.38,0.46,1.53,181.24,184.29
47,146.35,152.79,1.46,1.51,181.19,184.3
48,149.11,158.26,1.1,2.14,181.47,184.11
49,155.38,164.8,1.86,2.72,180.41,183.9
50,158.25,167.76,2.06,3.03,180.17,183.58
51,159.89,168.24,1.88,2.57,179.97,183.9
52,162.29,170.05,1.2,2.8,180.0,183.35
53,164.14,169.54,1.16,2.56,180.01,183.92
54,166.17,170.99,0.35,3.06,179.8,183.83
55,166.59,170.86,359.66,3.06,179.8,183.85
56,169.43,171.07,359.21,3.02,179.6,184.2
57,169.52,171.94,359.22,3.23,179.93,183.91
58,168.86,171.94,358.9,3.24,180.24,184.22
59,168.02,172.07,358.45,2.84,180.64,184.87
60,168.19,172.59,358.11,3.07,180.95,184.65
61,168.27,173.23,357.55,3.07,181.47,185.31
62,167.33,174.06,357.08,3.06,180.95,185.62
63,167.73,173.44,357.07,2.56,180.95,185.4
64,167.4,173.44,356.75,2.56,180.95,185.07
65,166.32,172.93,356.29,2.56,180.42,184.76
66,165.91,172.55,356.29,2.4,180.43,184.24
67,165.17,172.47,356.17,2.42,179.6,184.23
68,165.5,172.2,356.51,2.46,179.55,184.27
69,165.42,172.2,356.51,2.47,179.56,184.28
70,165.01,172.2,356.51,2.47,179.24,183.95
71,165.36,171.17,356.64,1.85,179.78,184.52
72,164.88,171.17,356.98,1.85,179.77,184.18
73,164.01,171.29,357.1,1.85,180.3,184.19
74,163.51,171.27,357.11,1.84,180.3,183.84
75,163.11,171.22,357.11,1.75,180.3,184.63
76,163.11,169.48,357.11,1.03,180.31,184.3
77,162.94,168.61,357.22,0.45,180.52,184.87
78,162.94,167.87,357.0,0.08,181.06,184.88
79,162.94,168.0,357.0,359.85,181.37,185.11
80,162.94,168.0,357.0,359.85,181.06,185.11
81,162.94,168.5,357.0,0.08,181.07,184.89
82,162.61,168.5,356.88,0.08,180.84,185.24
83,162.49,168.62,356.88,0.31,180.84,184.66
84,162.49,168.62,356.88,0.31,180.84,184.67
85,163.23,169.12,357.22,0.31,180.84,185.0
86,163.63,169.98,357.22,0.89,181.16,184.43
87,163.81,170.11,357.1,1.13,180.93,183.85
88,163.88,170.11,356.99,1.13,180.4,183.85
89,164.38,170.86,356.98,1.49,180.4,183.85
90,164.96,170.86,356.95,1.49,180.41,183.85
