frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,176.26,175.91,355.51,355.19,182.23,180.72
1,175.5,174.28,355.86,355.6,181.64,179.22
2,174.81,173.45,357.32,357.09,179.24,175.45
3,172.54,169.35,355.93,354.98,179.93,178.48
4,172.0,169.58,354.29,354.26,182.51,179.2
5,173.86,173.17,355.83,356.28,182.91,179.18
6,175.33,171.98,356.86,356.62,183.07,180.11
7,175.19,172.65,357.13,356.93,182.93,181.07
8,175.8,173.3,357.04,357.23,184.15,182.03
9,175.73,173.08,357.69,357.89,184.15,182.03
10,172.8,168.76,357.43,356.52,182.77,184.53
11,168.07,165.02,357.46,356.15,182.77,185.5
12,164.19,161.76,358.43,355.49,181.39,186.11
13,158.94,158.88,358.44,355.84,181.39,185.14
14,156.15,158.79,358.77,357.14,180.52,184.09
15,152.47,156.35,358.92,357.51,183.18,183.64
16,150.27,154.69,359.43,357.88,184.45,182.07
17,145.44,149.4,0.3,357.88,185.34,182.07
18,141.26,142.63,0.7,358.16,184.99,183.02
19,135.89,135.56,0.99,357.85,185.34,182.65
20,124.95,127.57,2.02,357.77,184.9,183.9
21,117.62,122.95,2.35,357.75,184.0,183.88
22,113.55,115.77,2.42,357.36,183.97,185.34
23,105.06,105.95,1.79,356.99,183.94,186.22
24,99.67,93.95,1.83,357.01,183.94,186.2
25,93.25,84.69,3.33,357.33,183.96,186.55
26,90.63,77.4,4.86,357.69,183.95,186.92
27,88.64,76.51,5.65,358.43,183.95,186.39
28,86.82,77.1,8.46,359.89,183.94,188.2
29,81.0,77.21,8.46,0.61,183.94,188.73
30,75.31,72.69,9.35,2.39,184.29,189.63
31,71.82,70.03,10.03,3.03,184.29,190.13
32,70.05,68.02,11.71,4.4,184.3,191.93
33,68.31,63.19,13.09,3.82,184.29,191.93
34,67.3,61.94,14.99,4.18,183.95,191.03
35,66.9,58.61,17.22,6.43,183.95,191.03
36,64.03,55.57,19.2,8.73,183.95,191.05
37,63.36,54.48,20.1,10.13,183.97,190.52
38,62.08,53.35,20.35,10.82,183.98,190.52
39,61.36,52.06,21.01,11.5,183.98,190.52
40,58.37,51.16,21.0,11.18,183.49,190.15
41,55.7,49.71,21.66,12.55,183.5,190.69
42,53.53,47.64,21.38,12.91,183.5,190.32
43,51.67,44.48,21.66,13.07,183.86,189.96
44,50.37,42.66,21.65,13.62,183.85,189.62
45,49.28,42.78,21.93,12.57,183.85,191.05
46,48.82,42.43,22.83,13.44,184.22,190.54
47,47.31,40.36,23.75,14.01,184.22,190.2
48,47.94,39.96,25.37,15.28,183.34,189.91
49,46.74,39.83,26.07,16.22,182.98,189.91
50,45.81,38.04,26.34,16.22,183.86,189.91
51,44.93,37.34,26.08,15.52,183.5,189.91
52,45.01,37.42,26.71,15.84,182.97,190.28
53,46.46,37.42,27.39,15.46,182.97,190.66
54,48.38,37.98,28.56,15.72,182.61,190.66
55,49.04,37.83,28.86,15.63,182.97,189.74
56,50.87,40.07,28.5,15.63,183.33,189.74
57,51.75,39.2,26.01,14.54,184.06,189.93
58,54.14,40.41,22.65,12.66,184.78,189.91
59,54.72,40.57,22.98,11.93,184.79,189.85
60,55.76,42.64,22.36,10.66,184.79,190.8
61,57.73,43.44,22.05,10.32,184.79,190.77
62,60.26,46.29,23.04,11.93,183.92,190.77
63,62.7,50.22,23.65,13.15,183.94,191.1
64,65.99,53.12,24.28,13.34,183.96,191.85
65,69.37,56.07,24.62,13.47,183.96,192.19
66,71.8,59.36,24.58,13.47,184.82,192.19
67,74.47,61.05,23.97,11.33,184.44,192.86
68,75.8,62.99,23.67,10.25,184.43,192.29
69,77.07,66.24,22.72,10.58,184.93,192.18
70,81.85,73.69,21.78,10.58,184.91,191.65
71,85.41,75.68,21.51,9.48,184.89,192.01
72,87.6,77.47,20.95,7.37,184.53,192.01
73,90.27,78.18,19.75,7.03,184.17,191.11
74,95.64,81.24,18.86,6.31,184.17,191.11
75,99.41,85.09,16.68,3.78,184.18,190.74
76,101.96,85.33,16.03,2.67,184.68,189.84
77,101.99,92.29,14.67,2.67,184.3,189.84
78,105.85,95.9,13.65,2.67,185.16,189.84
79,110.57,105.72,13.16,2.37,185.18,189.5
80,116.17,122.12,12.86,0.41,184.78,189.88
81,119.73,126.8,12.35,359.6,184.8,189.88
82,122.64,132.68,10.51,359.06,184.4,189.5
83,125.62,134.09,10.06,358.59,184.03,189.84
84,124.96,133.87,7.99,357.85,184.03,189.88
85,129.14,137.35,6.9,358.22,183.68,188.97
86,132.35,138.37,6.81,358.17,183.67,188.97
87,134.54,139.0,5.77,358.54,184.56,188.06
88,136.62,138.33,5.62,358.53,184.55,188.06
89,138.21,138.31,4.6,358.27,185.46,187.7
90,142.54,139.46,3.26,357.96,185.46,162.69
91,143.27,140.48,1.55,357.66,185.9,169.41
92,143.97,142.67,0.82,358.03,185.93,178.17
93,146.19,143.64,0.43,357.73,186.33,179.65
94,145.03,145.8,359.47,357.74,183.53,182.33
95,148.5,146.07,358.19,357.43,184.06,175.24
96,150.35,148.53,358.2,356.77,184.03,179.87
97,149.72,149.8,357.57,356.48,184.0,180.93
98,152.8,150.21,357.56,356.48,183.98,181.57
99,153.5,150.7,357.3,356.56,183.62,180.84
100,154.23,153.01,357.03,356.56,182.17,182.09
101,155.89,153.46,357.75,356.23,180.91,182.92
102,156.93,157.15,357.84,356.6,179.64,182.55
103,158.77,157.94,358.13,356.23,180.54,184.06
104,161.04,159.52,358.78,356.82,181.07,185.39
105,165.26,160.5,358.78,356.85,181.06,185.35
106,166.65,162.01,358.79,356.88,181.56,185.88
107,168.19,162.55,358.81,356.23,181.58,186.98
108,170.28,164.25,358.57,356.28,181.71,187.01
109,171.69,167.7,357.48,355.63,184.32,187.05
110,173.13,170.64,357.48,355.92,184.83,187.45
111,173.22,169.89,356.86,355.28,185.34,187.45
112,174.53,170.62,357.45,355.99,185.34,185.56
113,174.64,172.28,356.83,355.97,185.86,185.6
