frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,176.38,167.47,4.48,7.45,150.22,156.61
1,170.93,174.78,356.89,359.26,165.08,167.51
2,169.63,168.67,355.42,355.54,170.64,173.85
3,163.08,161.26,353.62,352.44,175.0,175.74
4,161.18,163.85,354.05,352.75,175.36,177.96
5,158.6,161.6,354.82,353.66,174.86,177.98
6,157.61,158.95,355.0,355.75,176.43,179.25
7,154.33,156.13,355.99,356.8,177.32,180.74
8,151.08,154.7,356.26,358.17,179.94,181.28
9,146.3,149.5,357.28,358.54,180.78,180.88
10,143.97,146.51,358.99,358.89,181.14,181.21
11,136.07,140.44,358.99,357.75,180.62,182.46
12,131.29,132.56,359.3,355.88,180.99,117.09
13,120.96,125.74,0.0,356.6,180.49,137.7
14,113.91,117.84,0.71,356.19,180.0,173.64
15,108.6,105.6,2.5,356.17,179.14,181.01
16,103.59,102.54,2.5,356.13,179.14,182.6
17,98.16,93.57,5.32,356.18,179.14,184.08
18,87.3,80.05,8.11,356.93,179.14,184.08
19,82.59,75.88,10.19,359.98,179.62,184.07
20,77.41,73.55,12.6,2.63,178.77,185.41
21,74.19,72.95,15.15,6.53,177.91,185.43
22,71.09,68.24,18.1,7.3,177.06,185.92
23,65.22,60.81,22.44,11.56,176.31,185.04
24,62.77,59.73,26.34,14.18,175.95,184.54
25,60.55,54.75,28.2,18.17,175.95,184.68
26,58.65,49.72,29.15,19.37,175.95,184.42
27,56.41,47.05,30.46,18.61,175.94,184.55
28,54.47,42.74,31.55,16.55,175.42,185.43
29,51.64,41.72,32.1,18.28,175.81,186.29
30,51.08,40.45,31.93,16.49,175.42,186.7
31,49.93,39.6,31.93,16.48,175.42,186.19
32,48.5,38.57,31.18,15.76,176.28,186.19
33,48.2,38.84,31.18,16.66,176.28,186.97
34,48.2,38.12,31.18,15.94,176.28,186.97
35,46.35,38.12,30.46,15.94,176.28,186.97
36,46.08,38.12,30.46,15.94,176.28,186.97
37,46.08,39.56,30.46,16.22,175.8,187.01
38,46.08,38.68,30.46,16.22,175.8,187.01
39,46.72,38.38,30.73,16.22,176.17,187.01
40,47.55,39.7,30.73,16.32,176.17,186.86
41,46.93,39.14,30.38,16.7,176.17,185.97
42,46.93,39.3,30.38,15.99,176.17,185.46
43,46.03,40.02,30.12,16.32,175.8,185.83
44,46.19,40.02,29.48,16.7,175.8,184.95
45,46.37,40.43,30.46,16.22,175.78,184.95
46,46.52,40.43,29.81,16.22,175.78,184.95
47,45.92,40.43,29.48,16.22,175.78,184.95
48,45.54,40.56,29.2,15.49,175.42,184.95
49,45.54,40.56,29.2,15.49,175.42,184.95
50,46.19,41.28,29.85,16.24,175.42,184.43
51,46.7,41.89,29.85,16.51,175.42,184.43
52,47.2,41.4,29.84,15.89,175.41,184.06
53,47.57,39.93,30.11,15.55,175.78,183.43
54,48.2,39.08,30.74,15.93,175.29,183.56
55,48.96,39.7,30.74,15.71,175.29,183.55
56,50.79,40.18,31.1,15.71,175.29,183.55
57,50.93,40.91,31.1,16.44,175.29,183.55
58,52.34,42.11,31.1,16.79,175.29,184.44
59,53.72,43.33,31.09,16.79,175.29,184.44
60,55.74,44.05,31.09,17.51,175.31,183.91
