frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,172.37,165.21,10.06,4.81,150.72,132.43
1,167.67,165.58,9.2,4.28,150.78,130.87
2,164.04,164.86,8.84,4.23,164.82,131.95
3,162.26,164.12,8.4,4.5,162.47,118.87
4,154.42,161.3,7.66,4.0,160.89,132.6
5,145.01,153.35,6.59,4.29,165.86,163.98
6,136.99,143.41,6.13,2.87,172.06,177.94
7,132.33,138.35,6.01,3.17,177.66,182.96
8,66.02,48.85,9.96,29.87,177.64,183.27
9,58.06,40.75,13.67,28.11,178.81,182.8
10,52.7,39.41,13.5,15.74,178.99,183.85
11,47.84,36.4,12.75,5.84,178.41,183.86
12,41.49,35.3,13.58,7.04,179.63,183.46
13,37.31,28.72,17.29,8.39,179.63,183.51
14,34.35,36.43,17.43,9.06,179.79,184.53
15,35.32,36.75,18.99,10.81,180.01,185.33
16,35.65,34.19,18.91,11.4,180.43,184.74
17,40.79,34.3,20.78,12.41,181.05,186.24
18,44.74,29.32,22.53,7.8,182.28,187.86
19,40.58,27.7,19.04,5.78,182.27,187.81
20,42.29,28.31,19.42,6.44,182.24,187.76
21,46.36,28.87,17.37,6.97,182.65,186.69
22,49.43,29.47,16.23,5.37,182.22,186.29
23,50.09,34.16,13.52,5.25,182.21,186.23
24,55.64,38.94,12.09,2.51,181.15,185.43
25,60.5,41.52,12.5,2.46,180.53,185.32
26,65.05,43.56,13.08,3.49,179.94,185.59
27,65.66,47.42,13.83,8.97,178.4,184.3
28,67.36,51.09,12.95,9.62,178.07,183.65
29,69.27,52.43,11.69,17.69,178.47,182.45
30,168.69,164.88,10.86,4.4,156.77,147.67
31,168.08,167.44,10.03,5.05,149.47,124.52
32,168.04,168.17,9.35,5.11,147.92,128.34
