frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,185.56,188.42,3.16,6.43,181.61,175.71
1,188.83,187.27,5.79,8.17,177.25,173.28
2,188.94,186.97,5.8,8.04,175.52,173.14
3,186.41,185.57,4.68,7.78,177.9,172.68
4,185.57,185.68,4.81,8.0,175.72,172.3
5,185.45,185.6,4.06,8.36,177.21,172.26
6,185.84,186.24,4.46,8.51,177.41,172.2
7,186.23,186.48,4.87,8.36,178.02,171.79
8,186.69,186.14,5.24,8.12,178.31,171.71
9,186.11,187.33,4.58,7.71,178.75,171.82
10,187.02,188.44,3.74,4.6,179.2,178.54
11,189.42,191.54,2.22,4.28,181.88,178.36
12,195.36,193.73,1.36,2.76,182.3,178.37
13,196.38,195.24,359.89,1.2,183.94,179.73
14,200.05,201.0,0.0,0.8,183.38,178.43
15,202.77,203.7,0.31,0.34,181.4,177.11
16,208.86,207.56,0.42,359.79,179.78,175.41
17,212.04,212.05,1.52,359.66,176.78,174.2
18,215.72,219.83,1.86,359.45,175.45,173.55
19,219.53,224.69,2.32,358.72,173.93,173.28
20,229.38,230.1,2.14,356.83,173.67,174.2
21,232.34,233.53,1.77,354.48,173.07,174.18
22,243.9,239.26,1.78,353.09,172.9,175.05
23,248.83,244.48,2.11,352.36,172.19,174.52
24,242.49,248.0,2.12,352.09,171.79,174.03
25,242.39,252.37,2.69,350.22,170.99,174.04
26,233.19,256.33,2.5,347.76,170.21,173.49
27,226.93,258.81,2.26,345.81,170.0,173.29
28,259.66,260.82,2.03,345.37,169.68,173.04
29,253.81,264.73,1.1,345.71,168.88,172.81
30,278.67,268.25,359.91,345.86,168.15,172.14
31,270.88,274.56,358.71,346.18,167.86,171.73
32,262.73,276.64,359.69,346.68,167.76,170.68
33,235.01,279.83,1.11,347.08,167.98,169.73
34,255.58,281.85,1.24,347.01,167.97,169.21
35,276.98,284.49,1.34,346.63,168.2,169.21
36,297.16,285.43,0.77,346.46,168.27,169.21
37,299.51,288.25,0.16,346.47,169.01,169.71
38,293.1,291.35,0.33,346.6,169.22,169.68
39,295.62,295.21,0.91,346.57,169.37,169.67
40,313.85,297.52,1.01,347.14,169.48,169.39
41,319.74,300.4,1.02,347.7,169.56,169.66
42,319.03,302.55,0.78,348.27,169.62,169.68
43,318.45,303.7,0.89,349.15,169.78,169.68
44,315.82,304.19,0.88,350.03,169.65,169.7
45,312.36,304.08,1.2,349.98,169.65,169.69
46,315.19,303.17,1.11,349.99,169.46,169.51
47,312.51,302.5,1.23,349.66,169.73,169.93
48,309.4,300.3,1.48,349.89,170.16,170.09
49,293.1,297.34,2.08,350.89,169.86,170.31
50,295.73,292.39,1.74,350.56,169.87,170.74
51,294.03,289.22,1.48,350.25,169.35,171.07
52,293.2,287.19,1.48,350.22,169.08,171.35
53,293.15,285.52,2.07,350.4,168.24,171.04
54,285.62,282.81,2.1,350.36,167.08,170.75
55,284.72,277.8,1.76,351.11,166.84,170.18
56,279.53,271.83,0.62,351.28,166.86,169.8
57,274.46,268.77,0.43,350.8,166.85,169.48
58,271.07,264.93,0.1,350.78,167.12,169.66
59,260.54,259.47,0.6,351.44,167.22,169.9
60,258.04,254.89,0.72,352.29,168.08,170.32
61,254.44,251.43,1.13,353.9,168.77,170.77
62,250.52,246.39,1.43,354.87,169.1,170.73
63,245.12,242.56,1.8,355.24,169.76,171.08
64,241.14,237.73,2.78,355.3,170.26,171.08
65,232.18,233.24,2.79,355.68,170.63,171.21
66,231.01,229.39,2.81,355.89,170.79,171.32
67,225.56,225.12,2.81,356.49,170.73,171.48
68,221.6,221.5,3.13,357.36,170.39,171.21
69,218.63,217.9,3.2,358.04,170.39,171.77
70,216.42,215.01,3.55,358.75,172.99,172.72
71,214.94,212.41,3.78,359.16,173.64,173.01
72,211.06,209.49,3.61,0.08,174.25,173.86
73,208.35,208.68,3.65,0.82,174.05,174.35
74,204.26,205.7,2.7,1.12,174.63,174.58
75,202.34,203.13,2.26,1.34,174.71,174.82
76,200.31,202.19,1.31,1.27,175.2,175.07
77,198.57,199.95,1.1,1.36,175.47,175.48
78,194.35,196.29,0.14,0.95,178.6,176.17
79,192.73,191.08,359.16,359.6,181.63,177.44
80,192.14,188.84,358.49,359.45,183.74,176.83
81,190.98,188.09,357.76,359.65,183.2,175.93
82,185.54,185.22,357.8,0.28,182.51,173.87
83,181.84,183.77,358.17,1.22,181.93,172.12
84,180.6,182.0,358.71,1.74,181.57,170.9
85,180.84,180.84,358.81,1.84,181.56,171.29
86,179.6,179.66,358.91,2.32,181.31,170.63
87,179.72,178.08,359.97,2.24,179.18,170.53
88,177.4,177.07,0.52,2.81,177.72,170.03
89,176.84,176.08,1.04,2.76,176.62,170.39
90,177.05,175.6,1.45,2.94,175.65,170.03
