frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,284.08,291.54,341.66,9.93,184.5,164.38
1,286.98,300.09,337.39,9.23,184.59,167.76
2,291.12,300.84,336.62,9.36,183.35,168.84
3,297.05,305.35,336.6,10.11,182.04,169.6
4,297.47,309.29,337.69,10.08,182.12,169.58
5,305.08,312.01,343.01,10.26,182.01,169.84
6,308.08,313.73,343.95,10.41,182.21,169.33
7,307.71,311.66,343.77,10.39,182.12,169.17
8,300.52,309.45,341.83,10.55,182.21,169.0
9,293.66,306.51,339.35,11.24,182.31,169.08
10,288.29,302.45,338.56,11.0,182.61,169.36
11,285.53,301.04,339.58,10.81,183.22,169.59
12,279.35,299.07,339.56,10.24,185.03,169.62
13,269.09,291.71,337.7,10.11,184.87,169.24
14,261.34,281.25,339.74,10.51,185.98,169.39
15,262.52,270.2,344.9,11.97,186.57,169.27
16,256.33,265.24,346.98,12.16,186.71,169.24
17,245.46,255.37,347.93,11.71,186.35,169.69
18,239.02,245.19,348.64,11.67,185.46,169.57
19,234.02,232.68,348.55,12.14,185.26,169.49
20,223.89,225.32,348.19,12.48,184.63,169.0
21,218.16,221.93,348.01,12.32,184.31,169.26
22,212.93,219.82,347.81,12.18,184.94,169.4
23,207.3,216.56,347.79,11.77,185.65,170.12
24,206.5,212.84,348.38,11.04,189.48,170.8
25,203.83,208.64,349.5,9.88,188.59,170.9
26,200.71,205.56,350.94,8.72,188.22,171.14
27,197.34,200.74,351.64,7.05,186.45,170.34
28,195.47,197.1,352.58,6.42,186.14,169.02
29,194.1,196.63,352.41,6.7,186.31,169.42
30,190.57,195.04,351.8,7.37,185.94,168.56
31,187.65,191.09,351.92,6.67,186.04,167.5
32,185.97,188.97,352.04,6.49,186.13,167.0
33,186.04,187.46,353.19,6.46,185.42,166.32
34,184.51,186.11,354.01,6.67,185.02,164.68
35,186.8,185.62,355.04,6.94,185.05,164.43
36,187.05,185.06,355.24,7.18,184.28,163.17
37,187.13,183.91,355.14,7.11,183.79,162.84
38,186.9,182.63,355.25,7.71,183.47,160.74
39,186.6,182.66,355.47,7.66,181.93,160.35
40,186.41,182.51,355.48,7.59,181.31,159.92
41,179.52,182.89,352.25,7.81,181.36,159.44
42,176.86,183.09,351.08,7.83,180.93,159.46
43,177.28,183.29,351.2,7.83,181.08,158.96
44,177.93,183.64,351.49,7.9,180.87,159.26
45,178.16,183.84,351.5,7.9,180.66,159.13
46,178.39,183.5,351.55,7.52,180.77,159.26
47,178.83,183.15,351.76,7.37,180.79,159.07
48,179.49,182.98,352.16,7.39,180.96,158.69
